Title	Artist	Date	Subject	Description	Notes	Edition	Type	Original Format	Original Size	Digital Format	Repository	Repository Collection Guide	Restrictions	Cite As	Contact Info	Frame Size	Accession Number	Language	Object File Name	Item URL	Collection URL	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Cataloger	Cataloged Date	Digitized By	Publisher	Digitized Date	Credit Line	Contributors	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Visitor	Durieux, Caroline, 1896-1989	1944	Skeletons; Women; Doors & doorways	The print depicts the presentation of death as a beautiful and elegantly dressed woman.	The drawing was made using lithographic pencil and crayon and some use of scraping. The stone was coarsely ground by the artist to achieve a slight texturing to the overall surface. The artist made the design during the war years when  death was an ever present reality to all. The idea for the print came to the artist while at a party in New Orleans. There were many soldiers present. Quite often during the evening the question would be asked, "Where's so and so?. The answer seemed always the same,  "Why, he was lost at Wake, or Guam, or in the Pacific." Ms. Durieux felt that death stood at the door of the party, waiting to meet one of those soldiers present.	Ed.10	Image	Black lithograph	14-1/4 x 7-1/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.27		cd000133	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-25	JC		08-03-2004				2004-08-03	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/107	107	1515139102003_290.jp2		/CWD/image/1515139102003_290.jp2
Devil's garden	Durieux, Caroline, 1896-1989	ca. 1970	Abstract paintings	Unknown objects looks like flowers.	no supplemental data in file.		Image	Electron print	14 x 10-1/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.105		cd000091	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-18	PA		2004-07-27				2004-08-13	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/108	108	23414139102003_272.jp2		/CWD/image/23414139102003_272.jp2
Desiree	Durieux, Caroline, 1896-1989	1947	Women; Sitting	The heavy, sagging body of the woman, who sits on the stoop outside her house, adds to the unsuspected ridicule of the woman. To add to the ridicule she sits attired in her finery, with lace trimming and a flower pinned in her hair. What might have been an alluring position in a young woman becomes sadly vulgar here.	This lithograph was printed at LSU. This print, drawn entirely in pencil on stone, uses title to create the irony of the satire. Ms. Durieux related that she often saw such a scene in New Orleans . There were two ladies in particular who'd sit outside, apparently a very old habit of the two. It was from these two that Ms. Durieux was inspired to make this design.	10 of 20	Image	Black lithograph	12-3/4 x 9-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.46		cd000109	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-19	PA		2004-07-27				2004-07-27	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/109	109	92115139102003_311.jp2		/CWD/image/92115139102003_311.jp2
Generation gap	Durieux, Caroline, 1896-1989	1977	Women; Families	A girl talking with her mother.			Image	Black and white lithograph	17-15/16 x  20-1/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments	17-15/16 x 20-1/8 in.	90.2		cd000162	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-12-02	JC		8-10-04				2004-08-10	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/110	110	43721139102003_435.jp2		/CWD/image/43721139102003_435.jp2
Commencement	Durieux, Caroline, 1896-1989	1947	People; Graduation ceremonies	The drawing depicts the first commencement seen  by the artist at LSU. The figures also suggested to the artist the "Captains of Erudition" from Thorstein Viblems' the Higher Learning in America. Symbols are employed within the design. For example, the birds are buzzards flying in the background. Buzzards are usually associated as being attracted to dead things and as Ms. Durieux  commented, "...some commencements are dead from the start..." must be careful that every line used must serve a purpose. She the added that same is true of satire, everything used must serve the purpose of the satire.	This lithograph was printed by the artist at LSU in 1947. The print uses an economy of line, with all lines made by a lithographic crayon on stone. The width of the line determines the tone of the print.	Ed.20	Image	Black lithograph	11-1/2 x 9-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.45		cd000137	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-25	JC		08-03-2004				2004-08-03	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/111	111	89015139102003_310.jp2		/CWD/image/89015139102003_310.jp2
CHARLATAN	Durieux, Caroline, 1896-1989	1976	NA	NA			Image	BLACK ELECTRON	H: 13   W: 9-1/2	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		77.22.13	NA	cd000211	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	NA	NA	NA	NA		NA		2004-02-16	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/112	112	81219139102003_399.jp2		/CWD/image/81219139102003_399.jp2
Bal masque	Durieux, Caroline, 1896-1989	1946	Carnival; Balls (Parties); Kings; Queens; Masquerades	The scene presents a representation of a carnival ball in which a social presentation of marriageable young ladies are escorted by masked gentlemen of the carnival court.  These are viewed by the elderly mothers and grandmothers, who gossip and comment on the young replicas of themselves, their daughters. The artist presents in this self-contained design, females as the important elements. The males serve as decorative elements within the composition. The satire and the design are built on a circular movement. One may interpret the representation of the three generations as three generations of "puppets" repeating a social pattern. Also, the series of circles within the composition may suggest the idea that the New Orleans' spirit of Carnival is never ending, a tradition that goes on from generation to generation.	The work was done on stone using a lithographic pencil. No scraping was employed.		Image	Black lithograph	15-1/8 x 7-5/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.33		cd000178	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-12-02	JC		08-10-2004				2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/113	113	31215139102003_297.jp2		/CWD/image/31215139102003_297.jp2
Security	Durieux, Caroline, 1896-1989	1947	Women; Aged persons	This is a bust-length female portrait of another of the Durieux types. This is the arch-type "society grande dame.. The woman's head is three quarters turned to the picture plane - facing right. Her hair is piled high on her head and she wears a bow. The subject has a long face with an aquiline nose and wears large earrings.	the model for this subject was Ms. Durieux's cousin Eleanor Ogasta. Mrs. Durieux referred to this cousin as a great aunt because of the closeness in the family.		Image	Black lithograph	13-1/2 x W: 7-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.49		cd000087	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-18	PA		2004-07-27				2004-08-13	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/114	114	6216139102003_314.jp2		/CWD/image/6216139102003_314.jp2
Victory	Durieux, Caroline, 1896-1989	1975	Skeletons; Women; Skirts	The picture is dominated by a female skeletal figure shown from the hips down, standing sideways. She wears a chiffon type dress in which a screen pattern has been created by the use of a tarlatan. The figure stands in the foreground in what appears to be a desert at night. There are grey mountains with red-orange touches in the background. The dress and skeleton have red-orange touches as well.		3 of 10	Image	Electron with some color	20 x 16 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		76.12.13		cd000023	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-12	PA		2004-07-13				2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/115	115	20319139102003_385.jp2		/CWD/image/20319139102003_385.jp2
Clown	Durieux, Caroline, 1896-1989	1953	Clowns; Men	Image of a skull-like face with a ruffled clown collar. The face has a dark indistinct nose an eyes, very thin eyebrows and a mouth full of teeth. Lips are wrinkled and drawn around teeth. The figure has short hair and a dark cap with "X" shaped bows or decorations attached to the left side. A sinister clown.			Image	Black electron	13-1/2 x 10-3/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		84.20.10		cd000034	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-12	JC		2004-07-13	Dr. & Mrs. Harry E. Wheeler, Lexington, KY			2004-08-13	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/116	116	85920139102003_422.jp2		/CWD/image/85920139102003_422.jp2
Truck riders Mardi Gras day	Durieux, Caroline, 1896-1989	1946	Trucks; Carnival; Costumes;	Truck riders in rabbit costume in Mardi Gras day.			Image	BLACK AND WHITE LITHOGRAPH	11-1/2 x 8 in	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments	19-1/4X16-1/2	77.17	NA	cd000189	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	2003-12-03	NA	NA	NA		NA		2003-12-05	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/117	117	59319139102003_394.jp2		/CWD/image/59319139102003_394.jp2
RED CIRCLE	Durieux, Caroline, 1896-1989	1972	NA	NA			Image	COLOR ELECTRON	H: 9-7/8   W: 9-13/16	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		74.1.14	NA	cd000199	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	NA	NA	NA	NA		NA		2004-02-16	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/118	118	62518139102003_372.jp2		/CWD/image/62518139102003_372.jp2
Escape	Durieux, Caroline, 1896-1989	1972	Hands; Walls	The print depicts another interpretation of a favorite subject of the artist -- that of escape.	This print was made by the artist while at LSU. In this work the artist presents an active composition in which two hands serve as the central focal point. The hands clutch desperately at the top edge of a brick wall. The fingers appear to scratch deep into the bricks while crumbling particles fall in a patterned play  of white, grey and black. The surfaces throughout the composition are activated by the texturing of each. The dark foreboding sky in the background appears heavy and threatening as it is composed of thick bold brush lines made to appear even darker by several overlays of washes.	8 of 10	Image	Black and white cliché-verre	6-15/16 x 7-3/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		74.1.10		cd000152	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-25	PA		2004-08-10		Assisted by Mr. H.P. Bacot.		2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/119	119	43718139102003_368.jp2		/CWD/image/43718139102003_368.jp2
Rugged American	Durieux, Caroline, 1896-1989	1936	Men; Women	American tourists.	This lithograph was printed as a part of the artist's North American Series. The print was made from zinc plates execute in Taxco, Mexico. The actual drawing was made by the artist, depicting a tourist couple she saw while in Mexico. The couple appeared very earnest and very rugged to the artist. She noted that they both appeared with sharp features with piercing eyes. This prints employs an economy of tonal values, allowing line to dominate. Line is most carefully used by the artist. One may note that Line, due to cautious and precise handling by the artist, creates a feeling of air and space within the composition. Such is suggested by definite "breaks" between linear points -- allowing a negative space to exist between line, with no lines overlapping.	Ed. 10	Image	Black lithograph	11-3/4 x 11 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments	20-5/8X19-1/8	68.9.10		cd000144	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-25	PA		2004-08-10		Printed in New York by George Miller.		2004-08-13	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/120	120	96813139102003_266.jp2		/CWD/image/96813139102003_266.jp2
Taxidermy	Durieux, Caroline, 1896-1989	1946	Women; Portraits	The satire of the print is obvious. The lady is depicted apparently feeling quite "stylish" in her hat. The bird which sets upon the hat conveys an association with its wearer. Note the similarity of their eyes, and the handling of the beak and nose. The lady appears to look like the product of a taxidermist and does the bird on her hat. The treatment of the wings arch upward suggesting antler-like appendages of the woman. Antlers are often considered trophies, as are stuffed birds, thus the satire is stated. Ms. Durieux related that she actually saw this woman while waiting in line at the bus depot. That which fascinated the artist is seen in the print.	This lithograph was printed from a drawing made using lithographic pencil on a finely ground stone. It was printed by the artist at LSU in 1946.	Ed.15	Image	Black lithograph	8 x  4-7/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.43		cd000130	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-20	JC		08-03-2004				2004-08-03	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/121	121	78115139102003_308.jp2		/CWD/image/78115139102003_308.jp2
Speech	Durieux, Caroline, 1896-1989	1953	Men; Public speaking	A man with short hair and a thin moustache is depicted with his head thrown back and his mouth open. He is wearing a polka-dotted bow tie and glasses.	Another print from same edition Acc. No. 2001.3.66	Ed.4 of 4	Image	Black electron	12-1/2 x 8-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		67.1.11		cd000139	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-25	JC		08-03-2004		Harry and Naomi Wheeler		2004-08-03	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/122	122	35913139102003_253.jp2		/CWD/image/35913139102003_253.jp2
La puit	Durieux, Caroline, 1896-1989	1951	Hands	Elongated, emaciated hands hang from the top of an oval print. A brick wall serves as the background. Water drips from the fingers of the hands.			Image	Color lithograph	19-1/8 x 11-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		99.9.3		cd000116	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-20	PA		2004-08-03	Vergie Miehl			2004-08-03	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/123	123	40622139102003_456.jp2		/CWD/image/40622139102003_456.jp2
Blind	Durieux, Caroline, 1896-1989	CA. 1955-62	Men; Women; Blind persons	The print depicts emaciated figures, one male one female, who appear quite alone in their afflictions.	This etching was printed in the home studio of the artist. The print was made using white ink on blue oriental paper. An additional edition was printed in  the traditional black on white. Ms. Durieux related that the most popular of the two editions were those done in white on blue. A fine delicate character of line appears throughout the etching and by means of crosshatching and linear overlay, the artist creates a delicacy of tonal values within the forms. Bold white lines serve as boundary  lines between and around each figure.	4 of 10	Image	White etching on blue rice paper	8-1/2 x 5-11/16 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		74.1.8		cd000081	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-18	PA		2004-07-27				2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/124	124	93718139102003_379.jp2		/CWD/image/93718139102003_379.jp2
Exile	Durieux, Caroline, 1896-1989	1939	Men; Exiles	A Jewish exhile.	This lithograph is from theartist's "New Orleans Series". It is drawn with a lithographic pencil and using a brush with lithographic ink. One may note that the entire background is ink painted onto the stone by brush. The suggestion for the face in the print came from an experience in New Orleans. Ms. Durieux  had x-rays made while in New Orleans by a young x-ray technician. The technician was a Jew who seemed to have one of the saddest faces seen by the artist. As it was the time of Jewish persecution in Germany, the artist related his saddened features of those misfortunate Jews in  Europe. She used his face to represent the exiled Jew at this time of world trouble. The black background surrounds the face and adds to the feeling of dark sadness of the work. The background, related Ms. Durieux, is again a technical "device" used by the artist. The black area allows the viewer to become involved in the composition allowing the viewer's eye to create an outline for the face and head of the youth. "A technical device is used by the artist for the viewer's sake... a technical device belongs to the artist, not the viewer."	10 of 12	Image	Black lithograph	10-1/2 x 9 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.15		cd000148	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-25	PA		2004-08-10				2004-08-13	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/125	125	43714139102003_277.jp2		/CWD/image/43714139102003_277.jp2
Parapet	Durieux, Caroline, 1896-1989	1953	People; Balconies	Mankind is presented by the use of a solitary standing human form. He is placed before a dark parapet over which he gazes into the dark void of the world. It appears a most solemn occasion.  Ms. Durieux related that the print's subject is one of those things that "...were it to be put into words, then there would be no need for this drawing..  The print allows the viewer to interpret the mystery which appears to be hidden behind the parapet.	Same print edition Acc. No. 2001.3.67. This is an electron print made from a drawing done using a dry brush and a radioactive ink solution.	Ed.8 of 9	Image	Black electron	10-3/4x 6-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.70		cd000135	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-25	JC		08-03-2004		Harry Wheeler		2004-08-03	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/126	126	3117139102003_336.jp2		/CWD/image/3117139102003_336.jp2
