Title	Compound	Photographer	Date	Dates	Subjects	Notes	Original Format/Size	Physical Description	Digital Format	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
View on the extreme North, where the colored troops charged May 27, 1864 - charging from the woods to the hill.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750042	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/148	148	149.jpg	/LSU_WLS/image/149.jpg
Looking from inside the rebel works over the same field.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	[See Dunham, 324142 & 3241136. These CDVs carry the backstamp of McPherson & Oliver, Photographers.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750043	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/149	149	150.jpg	/LSU_WLS/image/150.jpg
Interior.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750044	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/150	150	151.jpg	/LSU_WLS/image/151.jpg
Interior view.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750045	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/151	151	152.jpg	/LSU_WLS/image/152.jpg
Interior view.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750046	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/152	152	153.jpg	/LSU_WLS/image/153.jpg
Interior view.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750047	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/153	153	154.jpg	/LSU_WLS/image/154.jpg
Interior view	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	[See Dunham, 3241154 & 3241156, and Port Hudson CDVs (PHCDV), 487705. These CDVs carry the backstamp of McPherson & Oliver, Photographers.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750048	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/154	154	155.jpg	/LSU_WLS/image/155.jpg
An uncomfortable spot inside.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750049	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/155	155	156.jpg	/LSU_WLS/image/156.jpg
Another one.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750050	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/156	156	157.jpg	/LSU_WLS/image/157.jpg
On the bluff by the River.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750051	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/157	157	158.jpg	/LSU_WLS/image/158.jpg
Interior view on the bluff looking South.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	fortifications	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750052	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/158	158	159.jpg	/LSU_WLS/image/159.jpg
Interior [near 11 - lined through, looking North - penciled in]	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	tents	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750053	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/159	159	160.jpg	/LSU_WLS/image/160.jpg
Inside on the River.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750054	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/160	160	161.jpg	/LSU_WLS/image/161.jpg
Interior - River front.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750055	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/161	161	162.jpg	/LSU_WLS/image/162.jpg
A case of false pretenses on the water front.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	[See Dunham, 3241153, and Port Hudson CDVs (PHCDV), 487706. These CDVs carry the backstamp of McPherson & Oliver, Photographers.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750056	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/162	162	163.jpg	/LSU_WLS/image/163.jpg
Interior River front.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750057	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/163	163	164.jpg	/LSU_WLS/image/164.jpg
Interior view, River front.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750058	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/164	164	165.jpg	/LSU_WLS/image/165.jpg
Some of the Navy's handiwork on the water front.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	[See Port Hudson CDVs (PHCDV), 487707. This CDV carries the backstamp of McPherson & Oliver, Photographers.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750059	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/165	165	166.jpg	/LSU_WLS/image/166.jpg
Interior view -  River front.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750060	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/166	166	167.jpg	/LSU_WLS/image/167.jpg
Under the bluff looking South.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750061	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/167	167	168.jpg	/LSU_WLS/image/168.jpg
River bottom under the bluff, looking South.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750062	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/168	168	169.jpg	/LSU_WLS/image/169.jpg
