Title	Lingustic Category	Author	Author's Gender	Author's Occupation	Author's Social Class	Author's Place of Birth	Writing Location	Date	Addressee	Addressee's Location	Document Type	Notes	Extent (Pages)	Subject	Language	Repository	Repository Collection	Repository Collection Guide	Shelf Location	Cite As	Restrictions	Digital Collection	Contact and Ordering Information	Item URL	Transcription	Related Collections	Item Number	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/560	560	561.jp2	/p15140coll41/image/561.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/561	561	562.jp2	/p15140coll41/image/562.jp2
042711241849ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/562	562	563.pdf	/p15140coll41/image/563.pdf
Martin Gordon Jr. letter, 1849 Nov. 24	White French. (?)	Gordon, Martin, Jr.	M	Merchant	middle		New Orleans (La.)	1849-11-24	Tureaud, Benjamin, 1818-1883.	Brule Plantation (La.)	business	sending order and news of family	1	Plantations--Louisiana.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Benjamin Tureaud family papers, 1803-1932 (bulk 1849-1880).	http://www.lib.lsu.edu/special/findaid/0427.htm	E:114, Folder 1:2a	Benjamin Tureaud Family Papers, Mss. 427, 560, 794, 811, 1100,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/563	563	564.cpd	/p15140coll41/image/564.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/564	564	565.jp2	/p15140coll41/image/565.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/565	565	566.jp2	/p15140coll41/image/566.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/566	566	567.jp2	/p15140coll41/image/567.jp2
Page 4																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/567	567	568.jp2	/p15140coll41/image/568.jp2
042707231850ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/568	568	569.pdf	/p15140coll41/image/569.pdf
042707231850tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/569	569	570.pdf	/p15140coll41/image/570.pdf
042707231850tc_Transcription Page 3																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/570	570	571.pdf	/p15140coll41/image/571.pdf
Martin Gordon Jr. letter, 1850 July 23	White French. (?)	Gordon, Martin, Jr.	M	Merchant	middle		New Orleans (La.)	1850-07-23	Tureaud, Benjamin, 1818-1883.	Brule Plantation (La.)	business	crops and debt	3	Plantations--Louisiana.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Benjamin Tureaud family papers, 1803-1932 (bulk 1849-1880).	http://www.lib.lsu.edu/special/findaid/0427.htm	E:114, Folder 1:2b	Benjamin Tureaud Family Papers, Mss. 427, 560, 794, 811, 1100,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/571	571	572.cpd	/p15140coll41/image/572.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/572	572	573.jp2	/p15140coll41/image/573.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/573	573	574.jp2	/p15140coll41/image/574.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/574	574	575.jp2	/p15140coll41/image/575.jp2
Page 4																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/575	575	576.jp2	/p15140coll41/image/576.jp2
042710241850ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/576	576	577.pdf	/p15140coll41/image/577.pdf
042710241850tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/577	577	578.pdf	/p15140coll41/image/578.pdf
042710241850tc_Transcription Page 3																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/578	578	579.pdf	/p15140coll41/image/579.pdf
Martin Gordon Jr. letter, 1850 Oct. 24	White French. (?)	Gordon, Martin, Jr.	M	Merchant	middle		New Orleans (La.)	1850-10-24	Tureaud, Benjamin, 1818-1883.	Brule Plantation (La.)	business	news, relationships, and a problem	3	Plantations--Louisiana.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Benjamin Tureaud family papers, 1803-1932 (bulk 1849-1880).	http://www.lib.lsu.edu/special/findaid/0427.htm	E:114, Folder 1:2b	Benjamin Tureaud Family Papers, Mss. 427, 560, 794, 811, 1100,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/579	579	580.cpd	/p15140coll41/image/580.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/580	580	581.jp2	/p15140coll41/image/581.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/581	581	582.jp2	/p15140coll41/image/582.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/582	582	583.jp2	/p15140coll41/image/583.jp2
Page 4																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/583	583	584.jp2	/p15140coll41/image/584.jp2
042707141851ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/584	584	585.pdf	/p15140coll41/image/585.pdf
042707141851tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/585	585	586.pdf	/p15140coll41/image/586.pdf
042707141851tc_Transcription Page 3																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/586	586	587.pdf	/p15140coll41/image/587.pdf
Martin Gordon Jr. letter, 1851 Feb. 14	White French. (?)	Gordon, Martin, Jr.	M	Merchant	middle		New Orleans (La.)	1851-02-14	Tureaud, Benjamin, 1818-1883.	Brule Plantation (La.)	business	scandal and news	3	Plantations--Louisiana.	en, fr	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Benjamin Tureaud family papers, 1803-1932 (bulk 1849-1880).	http://www.lib.lsu.edu/special/findaid/0427.htm	E:114, Folder 1:2b	Benjamin Tureaud Family Papers, Mss. 427, 560, 794, 811, 1100,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/587	587	588.cpd	/p15140coll41/image/588.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/588	588	589.jp2	/p15140coll41/image/589.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/589	589	590.jp2	/p15140coll41/image/590.jp2
042705031851ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/590	590	591.pdf	/p15140coll41/image/591.pdf
Martin Gordon Jr. letter, 1851 May 3	White French. (?)	Gordon, Martin, Jr.	M	Merchant	middle		New Orleans (La.)	1851-05-03	Tureaud, Benjamin, 1818-1883.	Brule Plantation (La.)	business	news	1	Plantations--Louisiana.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Benjamin Tureaud family papers, 1803-1932 (bulk 1849-1880).	http://www.lib.lsu.edu/special/findaid/0427.htm	E:114, Folder 1:2b	Benjamin Tureaud Family Papers, Mss. 427, 560, 794, 811, 1100,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/591	591	592.cpd	/p15140coll41/image/592.cpd
Page1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/592	592	593.jp2	/p15140coll41/image/593.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/593	593	594.jp2	/p15140coll41/image/594.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/594	594	595.jp2	/p15140coll41/image/595.jp2
042706061855ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/595	595	596.pdf	/p15140coll41/image/596.pdf
042706061855tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/596	596	597.pdf	/p15140coll41/image/597.pdf
Martin Gordon Jr. letter, 1855 June 6	White French. (?)	Gordon, Martin, Jr.	M	Merchant	middle		New Orleans (La.)	1855-06-06	Tureaud, Benjamin, 1818-1883.	Brule Plantation (La.)	business	news	2	Plantations--Louisiana.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Benjamin Tureaud family papers, 1803-1932 (bulk 1849-1880).	http://www.lib.lsu.edu/special/findaid/0427.htm	E:114, Folder 1:2b	Benjamin Tureaud Family Papers, Mss. 427, 560, 794, 811, 1100,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/597	597	598.cpd	/p15140coll41/image/598.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/598	598	599.jp2	/p15140coll41/image/599.jp2
082501241895ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/599	599	600.pdf	/p15140coll41/image/600.pdf
Mary Llorens letter, 1895 Jan. 24	Black Creole.	Llorens, Mary.	F		middle	USA	Melrose (La.)	1895-01-24	Badin, Nirolane.	(unknown)	personal	news	1	Natchitoches Parish (La.)--History.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Norbert Badin papers, 1829-1937 (bulk 1870-1890).	http://www.lib.lsu.edu/special/findaid/b825.html	U:97-98	Norbert Badin Papers, Mss. 825, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/600	600	601.cpd	/p15140coll41/image/601.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/601	601	602.jp2	/p15140coll41/image/602.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/602	602	603.jp2	/p15140coll41/image/603.jp2
091203301855ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/603	603	604.pdf	/p15140coll41/image/604.pdf
091203301855tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/604	604	605.pdf	/p15140coll41/image/605.pdf
Melissa Baker letter, 1855 Mar. 30	Black Creole.	Baker, Melissa.	F				Funny Louis, Bayou (La.)	1855-03-30	Dugger, Charles W.	(unknown)	personal	news	2	Louisiana--History--1803-1865.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Marcelin Tauzin and family papers, 1834-1944.	http://www.lib.lsu.edu/special/findaid/912.htm	A:60, Box 1, Folder 1:3	Marcelin Tauzin and Family Papers, Mss. 912, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/605	605	606.cpd	/p15140coll41/image/606.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/606	606	607.jp2	/p15140coll41/image/607.jp2
131800001865ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/607	607	608.pdf	/p15140coll41/image/608.pdf
Michael T. Andry legal brief, 1865	Black Creole.	Andry, M. T. (Michael Thomassin), 1811-ca. 1871.	M	Planter	upper		(unknown)	1865-00-00			legal	draft of a legal brief on ownership of a plantation	1	Plantation owners--Louisiana.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	M.T. Andry and family papers, 1840-1882 (bulk 1858-1879).	http://www.lib.lsu.edu/special/findaid/a1318.html	UU:66	Michael Thomassin Andry and Family Papers, Mss. 1318, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/608	608	609.cpd	/p15140coll41/image/609.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/609	609	610.jp2	/p15140coll41/image/610.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/610	610	611.jp2	/p15140coll41/image/611.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/611	611	612.jp2	/p15140coll41/image/612.jp2
131802231865ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/612	612	613.pdf	/p15140coll41/image/613.pdf
131802231865tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/613	613	614.pdf	/p15140coll41/image/614.pdf
131802231865tc_Transcription Page 3																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/614	614	615.pdf	/p15140coll41/image/615.pdf
Michael T. Andry legal brief, 1865 Feb. 23	Black Creole.	Andry, M. T. (Michael Thomassin), 1811-ca. 1871.	M	Planter	upper		New Orleans (La.)	1865-02-23			legal	complaint/request for amnesty for debt	3	Plantation owners--Louisiana.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	M.T. Andry and family papers, 1840-1882 (bulk 1858-1879).	http://www.lib.lsu.edu/special/findaid/a1318.html	UU:66, Folder 1:3	Michael Thomassin Andry and Family Papers, Mss. 1318, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/615	615	616.cpd	/p15140coll41/image/616.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/616	616	617.jp2	/p15140coll41/image/617.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/617	617	618.jp2	/p15140coll41/image/618.jp2
091204241867ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/618	618	619.pdf	/p15140coll41/image/619.pdf
091204241867tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/619	619	620.pdf	/p15140coll41/image/620.pdf
Mrs. D. Griffith letter, 1867 Apr. 24	Black Creole.	Griffith, D., Mrs.	F	Medical Doctor	upper (?)		Natchitoches (La.)	1867-04-24	Tauzin, Mrs.	Natchitoches (La.)	personal	news	2	Natchitoches Parish (La.)--History.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Marcelin Tauzin and family papers, 1834-1944.	http://www.lib.lsu.edu/special/findaid/912.htm	A:60, Box 1, Folder 1:9	Marcelin Tauzin and Family Papers, Mss. 912, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/620	620	621.cpd	/p15140coll41/image/621.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/621	621	622.jp2	/p15140coll41/image/622.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/622	622	623.jp2	/p15140coll41/image/623.jp2
082509171896ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-13	2011-01-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/623	623	624.pdf	/p15140coll41/image/624.pdf
