Title	Creator	Contributors	Date	Dates	Physical Description	Notes	Language	Type	Subjects	Coverage	Digital Collection	Repository	Repository Collection Guide	Call Number / Shelving Location	Cite As	Restrictions	Contact and Ordering Information	Digital Format	Digital Reproduction Information	Item Number	Item URL	Collection URL	Cataloged Date / Cataloger Initials	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Surveyor's notes, T. W. Young, 1938.	Young, T. W. (Surveyor)	Ticknor (Draftsman)	1938		Map; hand drawn and colored.	Surveyor's notes and sketch describing the Rist and Delombre plantations, and adjacent properties in East Feliciana Parish.	English	Image	Landowners--Louisiana--East Feliciana Parish--Surveys.; Real property--Louisiana--East Feliciana Parish--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 09	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f09i09_TW_Young_Notes	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57			2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/168	168	169.jp2	/p16313coll57/image/169.jp2
Town of Industry, Baton Rouge, La., 1850.	Waller, Henry, 1808-1854.	Waller, William G., 1813-1891.	1850		Map; hand drawn and colored.	Plat map of "Town of Industry," in Baton Rouge, Louisiana. Surveyed and laid out in lots. Oriented east, bounded by Old Spanish Town Road on the north; North Street on the south; the Potts property on the east; and the N. K. Knox property on the west. Latil property shaded in red; Moreno property shaded in yellow. Scale 1:720.	English	Image	Land subdivision--Louisiana--Baton Rouge--Surveys.; Landowners--Louisiana--East Baton Rouge Parish--Maps.; City planning--Louisiana--Baton Rouge--Maps.; Baton Rouge (La.)--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Z 27: Box 13	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592raz27b13f00i004_Town of Industry 1850	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	08/28/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/173	173	174.jp2	/p16313coll57/image/174.jp2
Tract T-11 & 12 S, R-5-E, St. James Parish, east of Mississippi River b.	Grandjean, George H., 1846-1900		unknown		Map.	Verso of cadastral map of properties in St. James Parish, Louisiana.	English	Image	Real property--Louisiana--St. James Parish--Maps.; Landowners--Louisiana--St. James Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i8_St James Parish E of R b	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/21/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/174	174	175.jp2	/p16313coll57/image/175.jp2
Tunica Island, T-8-S, R-36-E, Greensburg District, 1830.	Cabell, C. J.	Williams, M. T.	1830		Map.	Survey map of properties adjacent to the Amite River, Ward's Creek, Iberville River, Bayou Manchac, and the Mississippi River. Shows property and lot lines, owners' names. Gives some dimensions. Heavily annotated. Original surveys done by Deputy Surveyor in 1821. Sectional line surveyed by John Gilmore and Stephen Roberts between 1821 and 1830. Oriented north.	English	Image	Greensburg Land District (La.)--Surveys.; Tunica Island (La.)--Maps.; Landowners--Louisiana--East Baton Rouge Parish--Maps.; Landowners--Louisiana--Ascension Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 03	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f03i05_Tunica Island	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/29/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/175	175	176.jp2	/p16313coll57/image/176.jp2
Union Plantation, 1957.	Swart, Reinier, Jr., 1885-1967.	Huey, P. W. (Preston)	1957		Map.	Plan showing Lots 1 through 10 inclusive, of a subdivision of Union Plantation made by A. G. Mundinger on April 27, 1932. Oriented with north up and to the left. Scale 1:2400.	English	Image	Real property--Louisiana--St. James Parish--Surveys.; Landowners--Louisiana--St. James Parish--Maps.; Plantations--Louisiana--St. James Parish--Maps.; Mundinger, A. G. (Adam George).		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i26_Union Plantation 1957	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/19/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/178	178	179.jp2	/p16313coll57/image/179.jp2
United States Garrison Grounds, 1848.	Waller, Henry, 1808-1854.	Waller, William G., 1813-1891.	1848		Map	North oriented. Field notes on right-hand portion of map: 'Field Notes of Survey of Government Grounds attached to the U.S. Garrison at Baton Rouge La.' Signed by 'Henry & Wm G. Waller, Survs. & Civ. Engr, Baton Rouge, La.'  Note at bottom center of map: 'A true copy from the original on file in our office, (signed) Henry & William G. Waller.'	English	Image	Fortification--Louisiana--Baton Rouge--Maps.; United States--History--Maps.; Baton Rouge (La.)--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i01_United States Garrison Grounds	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	2014-08-11 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/179	179	180.jp2	/p16313coll57/image/180.jp2
United States Government Grounds	Waller, William G., 1813-1891.		unknown		Map; hand drawn and colored.	Portion of map showing United States Government grounds, the Old Protestant Graveyard, and properties belonging to private owners and to the City of Baton Rouge. Old Protestant Graveyard shaded in blue. Some damage and discoloration from age. Annotations in pencil. Right portion of title block and bottom of map missing. Scale and date not determined.	English	Image	Louisiana--History--Maps.; Baton Rouge (La.)--History--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 01	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3542ra104f01i09_United States Government Grounds	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	08/22/2014		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/180	180	181.jp2	/p16313coll57/image/181.jp2
West Bank boundaries of Ascension, St. James, and St. John Parishes, 1886.	Waller, William G., 1813-1891.		1886		Map, hand drawn and colored.	Survey map establishing 1886 west bank boundary between the Parishes of St. John the Baptist and St. James, Louisiana. Shows names of landowners. Also shows boundaries of Ascension and Livingston Parishes. Scale 1:31,680.	English	Image	St. John the Baptist Parish (La.)--Boundaries--Louisiana--St. James Parish--Surveys.; St. James Parish (La.)--Boundaries--Louisiana--St. John the Baptist Parish--Surveys.; Landowners--Louisiana--St. John the Baptist Parish--Maps.; Landowners--Louisiana--St. James Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i40_Ascension St James St John Parishes 1886	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/19/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/181	181	182.jp2	/p16313coll57/image/182.jp2
State of Louisiana_6th judicial district																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/184	184	185.jp2	/p16313coll57/image/185.jp2
State of Louisiana_6th judicial district_2																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/185	185	186.jp2	/p16313coll57/image/186.jp2
Map of Louisiana, 6th judicial district, 1808. (and surveyor's notes)	Pintado, Vicente Sebastián, 1774-1829.		1808	1808; 1843; 1846	Map.	Certified copy of property survey map originally created by Pintado in 1808. Original map in Spanish; notes on certified copy in English. '‘Seal of office in the City of New Orleans this 25th day of January 1843 year of our Lord and the Sixty-seventh of the Independence of the U.S of America. (Signed) Bringier, Surveyor Genl.’ ‘A true copy of the document on file in my office. December 26th, 1846.' Pintado explains (in Spanish) the difficulties he encountered on this project. Far right upper (southeast) area of map shows unattached territory (Crown lands). Remainder of area (north, east, and west) in private hands, owned by Dominique Bouligny, Ursino Bouligny, Gilberto Andry, and Jean Baptiste Labatut.	Spanish; English	Image	Real property--Louisiana--East Baton Rouge Parish--Maps.; West Florida--Maps.; Spain--Colonies--Administration--History--19th century.; Real property--Louisiana--East Baton Rouge Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 03	William Waller Survey Collection, Mss. 3592, 3910, 4326, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to  Special Collections’ Policy on Access to Unprocessed Collections  (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f03i01_State of Louisiana_6th judicial district	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/30/2014 rlh		2015-04-09	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/186	186	187.cpd	/p16313coll57/image/187.cpd
Front																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/187	187	188.jp2	/p16313coll57/image/188.jp2
Back																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/188	188	189.jp2	/p16313coll57/image/189.jp2
Arlington Concession			1862? - 1882?	1862?;  1863?;  1864?;  1865?;  1866?;  1867?;  1868?;  1869?;  1870?;  1871?;  1872?;  1873?;  1874?;  1875?;  1876?;  1877?;  1878?;  1879?;  1880?;  1881?;  1882?	Map.	Cadastral map showing property boundaries of the Arlington Plantation and Newcomb Tract. Bounded on the west by the Mississippi River;  on the south by the Hope estate; and on the east by the Henry Von Phul and Gilbert Daigre properties. Newcomb Tract shaded in red. No scale given.	English	Image	Land claims--Louisiana.; Real property--Louisiana--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i15_Arlington a	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/14/2014 rlh		2015-04-09	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/189	189	190.cpd	/p16313coll57/image/190.cpd
Front																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/190	190	191.jp2	/p16313coll57/image/191.jp2
Back																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/191	191	192.jp2	/p16313coll57/image/192.jp2
Avery Plantation 1911	Swart, Reinier, Sr., 1845-1917.		1911		Map.	Survey map of Avery Plantatiion, Acadia Parish, Louisiana.  Oriented with north up and to the left. Scale 1:7920.	English	Image	Real property--Acadia Parish--Surveys.; Plantations--Acadia Parish--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i38_Avery Plantation 1911 a	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/21/2014 rlh		2015-04-10	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/192	192	193.cpd	/p16313coll57/image/193.cpd
Front																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/193	193	194.jp2	/p16313coll57/image/194.jp2
Back																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/194	194	195.jp2	/p16313coll57/image/195.jp2
Bayou Fordoche, 1839			1839		Map.		English	Image	Real property--Louisiana--Pointe Coupee Parish--Surveys.; Landowners--Louisiana--Pointe Coupee Parish--Maps.; Morgan, Charles, planter.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i12_Bayou Fordoche a	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/14/2014 rlh		2015-04-09	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/195	195	196.cpd	/p16313coll57/image/196.cpd
Front																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/196	196	197.jp2	/p16313coll57/image/197.jp2
Back																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/197	197	198.jp2	/p16313coll57/image/198.jp2
Bayou Grosse Tete			1870?		Map.	Undated survey map of Bayou Grosse Tete and surrounding lands. Shows locations of some physical structures. Heavily annotated. Scale not given.	English	Image	Grosse Tete (La.)--Maps.; Iberville Parish (La.)--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i21_Grosse Tete a	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/19/2014 rlh		2015-04-09	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/198	198	199.cpd	/p16313coll57/image/199.cpd
Front																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/199	199	200.jp2	/p16313coll57/image/200.jp2
Back																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/200	200	201.jp2	/p16313coll57/image/201.jp2
Clinton-Jackson map collage			1973?		Maps.	Undated assemblage of three maps and one sheet of surveyor's notes. All items related to Clinton-Jackson area of East Feliciana Parish, Louisiana. Very badly damaged, particularly about the edges.	English	Image	Real property--Louisiana--East Feliciana Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i56_Clinton Map Collage	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57			2015-04-09	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/201	201	202.cpd	/p16313coll57/image/202.cpd
Front																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/202	202	203.jp2	/p16313coll57/image/203.jp2
Back																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/203	203	204.jp2	/p16313coll57/image/204.jp2
Herman Tract by Percy			1938		Map.	Undated survey map of properties belonging to B F. Appleby, in East Feliciana Parish, Louisiana. Badly damaged and smeared from age and use. Scale not given.	English	Image	Landowners--Louisiana--East Feliciana Parish--Surveys.; Real property--Louisiana--East Feliciana Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i41_Herman Tract by Percy	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/21/2014 rlh		2015-04-09	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/204	204	205.cpd	/p16313coll57/image/205.cpd
Page 1																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/205	205	206.jp2	/p16313coll57/image/206.jp2
Page 2																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/206	206	207.jp2	/p16313coll57/image/207.jp2
Hynes and Craighead land survey			unknown		Map.	Undated survey map of property belonging to Edward J. Gay,  Andrew Hynes and Thomas B. Craighead in Iberville Parish, Louisiana. Oriented with north down and to the left. Canals, roads, and pastures marked.  Scale not given.	English	Image	Real property--Louisiana--Iberville  Parish--Surveys.; Landowners--Louisiana--Iberville Parish--Surveys.; Gay, Edward J.  (Edward James), 1816-1889.; Hynes, Andrew.; Craighead, Thomas B.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i43_Hynes and Craighead	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57			2015-04-09	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/207	207	208.cpd	/p16313coll57/image/208.cpd
Front																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/208	208	209.jp2	/p16313coll57/image/209.jp2
Back																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/209	209	210.jp2	/p16313coll57/image/210.jp2
I R and N Railroad right of way survey, 1928			1928		Map.	Survey map of T. 4. S. R 2 W, in East Feliciana Parish, Louisiana (Sections 10, 15, 16, 50, 51, 52, 58, and part of 53). Mainly focuses on rights of way for the I R & N  Railroad line from Big Sandy Creek to Thompson Creek; and the Y & M V Railroad line from Thompson Creek to J. C. Boice's property. Shows names of landowners and extent of property holdings. Portions of map torn away. Scale not given.	English	Image	Real property--Louisiana--West Feliciana Parish--Surveys.;  Landowners--Louisiana--West Feliciana Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i67_I R and N Railroad	See 'reference URL' in the navigation bar.				2015-04-09	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/210	210	211.cpd	/p16313coll57/image/211.cpd
Front																									2015-02-19	2015-02-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/211	211	212.jp2	/p16313coll57/image/212.jp2
