Title	Series	Photographer	Date	Description of Original	Notes	Type	Subjects	Digital Collection	Repository	Shelving Location	Cite As	Restrictions	Contact and Ordering Information	Item URL	Collection URL	Digital Reproduction Information	Image ID (from Finding Aid)	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Washington Fire Company No. 1 parade float in front of their fire station. 	Firemen	Lytle, Andrew David, 1834-1917.	1891? - 1910? 	Photograph : glass plate negative / polyester interpositive	The fire station of Washington Fire Company No. 1 was located on on Church Street between Laurel and Main Streets in Baton Rouge.	Still image	Washington Fire Company No. 1 (Baton Rouge, La.)--Photographs; Parade floats--Louisiana--Baton Rouge--Photographs; Children--Louisiana--Baton Rouge--Photographs. 	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn070		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/956	956	957.jp2	/p15140coll12/image/957.jp2
Washington Fire Company No. 1 in Firemen's Parade.	Firemen	Lytle, Andrew David, 1834-1917.	1890? - 1899? 	Photograph : glass plate negative / polyester interpositive	The float is decoraated with camelias and some members also hold bouquets of the flower, reflecting the parade's theme 'Baton Rouge Capitol of State, Home of Camelia.'   See also 1254_C-065 for a contemporaneous albumen print.	Still image	Washington Fire Company No. 3 (Baton Rouge, La.)--Photographs; Parade floats--Louisiana--Baton Rouge--Photographs; Fire fighters--Louisiana--Baton Rouge--Photographs; Children--Louisiana--Baton Rouge--Photographs. 	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn071		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/957	957	958.jp2	/p15140coll12/image/958.jp2
Eugene R. Cazedessus residence, Main Street.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1900?	Photograph : glass plate negative / polyester interpositive		Still image	Cazedessus, Eugene R., 1873-1938--Homes and haunts--Photographs.; Dwellings--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn072		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/958	958	959.jp2	/p15140coll12/image/959.jp2
W.S. Dooley residence, North Street.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1900?	Photograph : glass plate negative / polyester interpositive	See "Elk's Souvenir of Baton Rouge," page 77.	Still image	Dooley, W.S.--Homes and haunts--Photographs.; Dwellings--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn073		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/959	959	960.jp2	/p15140coll12/image/960.jp2
Donaldsonville Rice Mill storage area.	Donaldsonville, La.	Lytle, Andrew David, 1834-1917.	1895?-1910?	Photograph : glass plate negative / polyester interpositive		Still image	Donaldsonville Rice Mill (Donaldsonville, La.)--Photographs; Rice--Storage--Louisiana--Donaldsonville--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn074		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/960	960	961.jp2	/p15140coll12/image/961.jp2
Construction scene.		Lytle, Andrew David, 1834-1917.	1890?-1900?	Photograph : glass plate negative / polyester interpositive		Still image	Bridges—Design and construction--Photographs.; Steam-engines--Louisiana--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn075		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/961	961	962.jp2	/p15140coll12/image/962.jp2
Washington Fire Company No. 1 float decorated for parade.	Firemen	Lytle, Andrew David, 1834-1917.	1890?-1900?	Photograph : resin coated paper print		Still image	Washington Fire Company No. 1 (Baton Rouge, La.)--Photographs.; Parade floats--Louisiana--Baton Rouge--Photographs.; Children--Louisiana--Baton Rouge--Photographs.; Fire fighters--Louisiana--Baton Rouge--Photographs. 	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn076		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/962	962	963.jp2	/p15140coll12/image/963.jp2
Chatsworth Plantation, 8th Ward, East Baton Rouge Parish.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1900?	Photograph : glass plate negative / polyester interpositive		Still image	Chatsworth Plantation (East Baton Rouge Parish, La.)--Photographs.; Plantations--Louisiana--East Baton Rouge Parish--Photographs. 	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn077		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/963	963	964.jp2	/p15140coll12/image/964.jp2
Float decorated for Wonderland Parade at Washington Fire Company No. 1.	Firemen	Lytle, Andrew David, 1834-1917.	1899? - 1900?	Photograph : glass plate negative / polyester interpositive		Still image	Washington Fire Company No. 1 Station (Baton Rouge, La.)--Photographs; Wonderland Parade (Baton Rouge, La.)--Photographs; Parade floats--Louisiana--Baton Rouge--Photographs; Fire fighters--Louisiana--Baton Rouge--Photographs; Children--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn078		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/964	964	965.jp2	/p15140coll12/image/965.jp2
Washington Fire Company No. 3 parade float.	Firemen	Lytle, Andrew David, 1834-1917.	1899? - 1900?	Photograph : glass plate negative / polyester interpositive		Still image	Washington Fire Company No. 3 (Baton Rouge, La.)--Photographs; Parade floats--Louisiana--Baton Rouge--Photographs; Fire fighters--Louisiana--Baton Rouge--Photographs; Children--Louisiana--Baton Rouge--Photographs. 	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn079		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/965	965	966.jp2	/p15140coll12/image/966.jp2
LSU cadets in front of the Pentagon Barracks on the LSU Campus in Baton Rouge, about 1895.	LSU	Lytle, Andrew David, 1834-1917.	1890? - 1899? 	Photograph : glass plate negative / polyester interpositive		Still image	Louisiana State University and Agricultural and Mechanical College. Corps of Cadets--Photographs.; Pentagon Barracks (Baton Rouge, La.)--Photographs. 	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn080		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/966	966	967.jp2	/p15140coll12/image/967.jp2
Students possibly at St. Vincent's Academy.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1890? - 1899? 	Photograph : glass plate negative / polyester interpositive		Still image	Students--Louisiana--Baton Rouge--Photographs.; Children--Louisiana--Baton Rouge--Photographs.; Outdoor photography--Louisiana.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn081		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/967	967	968.jp2	/p15140coll12/image/968.jp2
African Methodist Church and Wesley Chapel, Government Street, Baton Rouge.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1880? - 1910?	Photograph : glass plate negative / polyester interpositive		Still image	Church buildings--Louisiana--Baton Rouge--Photographs; African American churches--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn082		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/968	968	969.jp2	/p15140coll12/image/969.jp2
State Mental Hospital, Jackson, Louisiana.	Jackson, La.	Lytle, Andrew David, 1834-1917.	1900?	Photograph : glass plate negative / polyester interpositive	Later known as East Louisiana State Hospital.	Still image	East Louisiana State Hospital (Jackson, La.)--Photographs.; Psychiatric hospitals--Louisiana--Jackson--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn083		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/969	969	970.jp2	/p15140coll12/image/970.jp2
Jacob Farrnbacher residence, Main Street, Baton Rouge.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1900?	Photograph : glass plate negative / polyester interpositive	See "Elk's Souvenir of Baton Rouge," page 79.	Still image	Farrnbacher, Jacob, 1831-1918--Homes and haunts--Photographs; Two-story houses--Louisiana--Baton Rouge--Photographs; Wooden-frame houses--Louisiana--Baton Rouge--Photographs; Architecture, Domestic--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn084		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/970	970	971.jp2	/p15140coll12/image/971.jp2
Unidentified residence.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1900?	Photograph : glass plate negative / polyester interpositive		Still image	Dwellings--Louisiana--Baton Rouge--Photographs.; Cisterns--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn085		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/971	971	972.jp2	/p15140coll12/image/972.jp2
Donaldsonville Rice Mill.	Donaldsonville, La.	Lytle, Andrew David, 1834-1917.	1900?	Photograph : glass plate negative / polyester interpositive	See also 1254_C-227   for a contemporaneous albumen print.	Still image	Donaldsonville Rice Mill (La.)--Photographs.; Rice--Milling--Louisiana--Donaldsonville--Photographs. 	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn086		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/972	972	973.jp2	/p15140coll12/image/973.jp2
Studio portrait of an unidentifed woman.	Portraits	Lytle, Andrew David, 1834-1917.	1875-1885?	Photograph : resin coated paper print		Still image	Women--Louisiana--Baton Rouge--Portraits.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn092		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/973	973	974.jp2	/p15140coll12/image/974.jp2
Brass band in Baton Rouge.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1880?-1890?	Photograph : glass plate negative / polyester interpositive		Still image	Brass bands--Louisiana--Baton Rouge--Photographs.; Portraits, Group--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	UU:263	Andrew D. Lytle Collection, Mss. 2600, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	2600_gpn095		2014-02-17	2014-02-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/974	974	975.jp2	/p15140coll12/image/975.jp2
