Title	Author	Author's location	Author's profession	Author's social class	Author's gender	Author's birthplace	Date written	Language	Letter type	Transcription	Subject	Digital Collection	Repository	Repository Collection	Physical location	Original Type/format	Description	Digital reproduction information	Item number	Contact and Ordering Information	Restrictions	Cite as	Item URL	Collection URL	Cataloger	Cataloged date	Full Text	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Antoine Dubrocard letter, 1795 Jan. 25	Dubrocard, Antoine	Opelousas, LA	Farmer	Lower middle class	Male	France?	1795-01-25	fr	Complaint	See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Opelousas and Attakapas Districts collection, 1777-1805.		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc075601251795	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Opelousas District Papers, Mss. 756, 1171, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Nkosinathi M. Dlamini	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/142	142	143.cpd		/LSU_CFF/image/143.cpd
Michel Leger and Jean Valet letter, 1795 August 3	Léger, Michel and Valet, Jean	Opelousas, LA	Farmers?	Lower middle class	Male	France?	1795-08-03	fr	Complaint	See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Opelousas and Attakapas Districts collection, 1777-1805.		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc075608031795	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Opelousas District Papers, Mss. 756, 1171, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Nkosinathi M. Dlamini	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/146	146	147.cpd		/LSU_CFF/image/147.cpd
Suzanne Bello letter, 1795 May 12	Bello, Suzanne	Opelousas, LA	Widow of Donato Bello	Lower middle class	Female	France?	1795-05-12	fr	Complaint	See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Opelousas and Attakapas Districts collection, 1777-1805.		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc075605121795	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Opelousas District Papers, Mss. 756, 1171, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Nkosinathi M. Dlamini	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/151	151	152.cpd		/LSU_CFF/image/152.cpd
Emile Sanjon letter, 1870 Feb. 4	Sanjon, Emile	New Orleans, LA	Lieutenant	Lower middle class	Male	France	1870-02-04	fr	Official letter	See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Joseph Girod papers, 1816-1899 (bulk 1830-1880).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc083801041870	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Joseph Girod Papers, Mss. 838, 853, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Nkosinathi M. Dlamini	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/157	157	158.cpd		/LSU_CFF/image/158.cpd
Girod letter, 1840 Feb. 1	Girod	New Orleans, LA	Planter	Middle class	Male	France	1840-02-01	fr	Personal letter	See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Joseph Girod papers, 1816-1899 (bulk 1830-1880).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc083802011840	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Joseph Girod Papers, Mss. 838, 853, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF				Correspondence	Text		2011-03-02	2011-03-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/164	164	165.cpd		/LSU_CFF/image/165.cpd
François Girod letter, 1832 August 23	Girod, François	New Orleans, LA	Merchant?	Middle class	Male	France	1832-08-23	fr	Business letter	See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Joseph Girod papers, 1816-1899 (bulk 1830-1880).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc083808231832	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Joseph Girod  Papers, Mss. 838, 853, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF				Correspondence	Text		2011-03-02	2011-03-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/167	167	168.cpd		/LSU_CFF/image/168.cpd
Docteur Pouatry letter, 1867 Oct. 24	Docteur Pouatry	New Orleans, LA	Doctor	Middle class?	Male	France?	1867-10-24	fr	Official letter	See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Joseph Girod papers, 1816-1899 (bulk 1830-1880).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc083810241867	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Joseph Girod Papers, Mss. 838, 853, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Nkosinathi M. Dlamini	2007-04-28		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/172	172	173.cpd		/LSU_CFF/image/173.cpd
Emma Le Doux letter, 1857 Aug. 8	Le Doux, Emma	Baton Rouge, LA	None	Upper class?	F	Louisiana	1857-08-08	fr	personal letter	See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	George Otis Hall family papers, 1856-1900, 1990 (bulk 1856-1880).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc432008081857	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George Otis Hall Family Papers, Mss. 4320, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Luis F. Interiano	2007-04-29		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/184	184	185.cpd		/LSU_CFF/image/185.cpd
Delphine Le Doux letter, 1856 Sept. 25	Le Doux, Delphine	Pointe Coupee, LA	None	Middle class?	F	Louisiana	1856-09-25	fr	personal letter	See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	George Otis Hall family papers, 1856-1900, 1990 (bulk 1856-1880).		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc432009251856	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George Otis Hall Family Papers, Mss. 4320, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs &lt;br&gt; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Luis F. Interiano	2007-04-29		Correspondence	Text		2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/190	190	191.cpd		/LSU_CFF/image/191.cpd
Capt. F.A. Prud'homme, 1862 Nov. 19	Prud'homme, F.A.	Bayou Teche, LA	Tenant Farmer	Upper middle class	M	Louisiana	1862-11-19	fr	personal letter	See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	P. Lestan Prudhomme family papers, 1836-1868 (bulk 1862-1863).		letter	Félicien Antoine Prud'homme (1833-1878) was the son of Pierre Phanor Prud'homme's first cousin Lestan Prud'homme (1801-1876).	Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000	elfc000311191862	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the &quot;Item number&quot; or &quot;Item URL&quot; in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Prudhomme Family Papers, Mss. 625, 665, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cffs; http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF	Luis F. Interiano	2007-04-29		Correspondence	Text		2010-04-07	2013-12-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/196	196	197.cpd		/LSU_CFF/image/197.cpd
