Title	Date	Caption/Description	Notes	Physical description	Cite as	Creator	Subject Headings	Category	Sub-category	Publisher	Restrictions	Repository	Contact and Ordering Information	File Name(s)	File Name	Identifier	Language	Relation	Coverage-Spatial	Coverage-Temporal	Cataloger	Cataloged Date	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Object File Name	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Alligator	1988	Alligator near Mathews, Lafourche Parish, LA, 1988.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Alligator hunting--Louisiana--Lafourche Parish	Trapping	Alligator	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	315	ddavis0059.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1896	1896	1897.jp2	/p15140coll21/image/1897.jp2
Inside alligator's mouth	1988	Inside alligator's mouth, near Mathews, Lafourche Parish, LA, 1988.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Alligator hunting--Louisiana--Lafourche Parish	Trapping	Alligator	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	316	ddavis0060.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1897	1897	1898.jp2	/p15140coll21/image/1898.jp2
Alligator in boat	1988	Alligator in boat, near Mathews, Lafourche Parish, LA, 1988.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Alligator hunting--Louisiana--Lafourche Parish	Trapping	Alligator	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	317	ddavis0061.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1898	1898	1899.jp2	/p15140coll21/image/1899.jp2
Signs in Amelia, LA		Sign for various businesses in Amelia, LA.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana--Saint Mary Parish	Signage	Commercial	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	6	ddavis0062.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1899	1899	1900.jp2	/p15140coll21/image/1900.jp2
American Gulf Shipbuilding Corporation	1976	American Gulf Shipbuilding Corp. sign		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana; Shipbuilding industry--Louisiana--Lafourche Parish	Vehicles, Signage	Boats, Commercial	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	7	ddavis0063.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1900	1900	1901.jp2	/p15140coll21/image/1901.jp2
Swamp Tours sign	1997	Annie Miller's Swamp Tours sign		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana; Swamps--Louisiana--Tours	Signage	Commercial	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	8	ddavis0064.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1901	1901	1902.jp2	/p15140coll21/image/1902.jp2
Atchafalaya		Wooded area at Atchafalaya Basin, LA, 1968.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Swamps--Louisiana	Landforms	Swamps	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	554	ddavis0065.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1902	1902	1903.jp2	/p15140coll21/image/1903.jp2
Bagala Oyster Company	1997	Sign for Bagala Oyster Company, Southwest Pass Inc., Port of West St. Mary, LA.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Oyster industry--Louisiana	Signage, Fishing-commercial	Commercial, Oysters	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	9	ddavis0067.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1903	1903	1904.jp2	/p15140coll21/image/1904.jp2
Bath house		B&W Bath House at Mandeville.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Bathhouses--Louisiana--Mandeville	Buildings	Community	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	491	ddavis0069.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1904	1904	1905.jp2	/p15140coll21/image/1905.jp2
Bay Junop Oyster House	1997	Sign for Bay Junop Oyster Co.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Oyster industry--Louisiana; Signs and signboards--Louisiana	Signage, Fishing-commercial	Commercial, Oysters	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	10	ddavis0070.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1905	1905	1906.jp2	/p15140coll21/image/1906.jp2
Bay Junop Oyster Housed	1997	Bay Junop Oyster House, Bayou Dularge Road, LA, 1997.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Restaurants--Louisiana--Terrebonne Parish	Fishing-commercial	Oysters	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	125	ddavis0071.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1906	1906	1907.jp2	/p15140coll21/image/1907.jp2
Columbia Gulf Transmission Co.		Columbia Gulf Transmission Co. Southern Division Section 12.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana	Signage, Mineral extraction	Commercial, Oil and natural gas	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	11	ddavis0072.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1907	1907	1908.jp2	/p15140coll21/image/1908.jp2
Chitimacha Choctaw sign	1997	Home of Biloxi Chitimacha Choctaw.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Mississippi--Biloxi; Choctaw Indians--Mississippi	Ethnic groups	Indians	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	12	ddavis0073.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1908	1908	1909.jp2	/p15140coll21/image/1909.jp2
Trainasse machine	1971	Blades of a trainasse machine, 1971.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Ditches--Louisiana; Machinery--Louisiana	Trapping, Manmade or Engineered waterways	Trapper trails (trainasses), Trainasses	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	318	ddavis0074.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1909	1909	1910.jp2	/p15140coll21/image/1910.jp2
Barge-mounted popier	1985	Barge-mounted popier at work, 1985.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Shrimp fisheries--Louisiana--Equipment and Supplies; Fishing nets--Louisiana	Fishing-commercial	Shrimp	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	161	ddavis0068.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1910	1910	1911.jp2	/p15140coll21/image/1911.jp2
Boat in the swamp	1972	An old boat in the swamp, 1972.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Boats and boating; Swamps--Louisiana	Landforms, Vehicles	Swamps, Boats	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	555	ddavis0075.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1911	1911	1912.jp2	/p15140coll21/image/1912.jp2
Boat launch fee sign	1982	Notice Private Landing 2.00 to Launch Please Pay In Advance.  Handwritten at bottom, Thanks, Danny, David.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana	Signage	Commercial	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	13	ddavis0076.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1912	1912	1913.jp2	/p15140coll21/image/1913.jp2
Boats in Bayou Boeuf at the bridge	1983	Two boats float in the water of Bayou Boeuf at the bridge, 1983.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Bayous--Louisiana; Boats and boating	Vehicles, Manmade or engineered landforms	Boats, Bridges	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	556	ddavis0077.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1913	1913	1914.jp2	/p15140coll21/image/1914.jp2
Boats in Bayou Boeuf	1983	Close-up of two boats in Bayou Boeuf at the bridge, 1983.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Boats and boating--Louisiana; Boeuf Bayou (La.)	Vehicles	Boats	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	557	ddavis0078.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1914	1914	1915.jp2	/p15140coll21/image/1915.jp2
Bonnet Carre Spillway sign		Sign for Bonnet Carre Spillway.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana	Signage, Waterways	Governmental	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	14	ddavis0080.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1915	1915	1916.jp2	/p15140coll21/image/1916.jp2
Bonnet Carre Spillway	1989	Aerial view of Bonnet Carre Spillway, St. Charles Parish, LA, ca. 1989.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Bonnet Carre Floodway (La.)	Waterways		Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	245	ddavis0079.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1916	1916	1917.jp2	/p15140coll21/image/1917.jp2
Sign for Boudin, Bayou Lafourche, LA	1982	Sign for Boudin, Andouillies, Head Cheese		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana; Food--Louisiana	Signage	Commercial	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	15	ddavis0081.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1917	1917	1918.jp2	/p15140coll21/image/1918.jp2
Sign for Bouillion's clothing, LA	1997	Sign for Bouillion's Steel Toe Boots, Slicker Suits, Rubber Footwear.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana; Clothing and Dress--Louisiana	Signage	Commercial	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	16	ddavis0084.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1918	1918	1919.jp2	/p15140coll21/image/1919.jp2
Sign for Burlington Offshore, Inc.	1997	Sign for Burlington Offshore Inc. Fresh Water City Terminal.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana; Water--Louisiana	Signage	Commercial	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	17	ddavis0085.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1919	1919	1920.jp2	/p15140coll21/image/1920.jp2
Sign for Big Burns Hunting Club	1997	Sign for Big Burns Hunting Club, Bayou Sale, LA.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Hunting and fishing clubs--Louisiana; Signs and signboards--Louisiana	Signage, Hunting	Commercial, Guides and camps	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	18	ddavis0087.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1920	1920	1921.jp2	/p15140coll21/image/1921.jp2
Sign for Garfish	1997	Handwritten sign, Buy Garfish Top Price.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana; Alligator gar--Louisiana	Signage, Fishing-commercial	Commercial, Fish	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	19	ddavis0088.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1921	1921	1922.jp2	/p15140coll21/image/1922.jp2
Sign for swamp cruise	1997	A Cajun Man's Swamp Cruise, Inc. Sign, Bayou Black, LA, 1997.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana; Swamps--Louisiana--Tours	Signage	Commercial	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	20	ddavis0089.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1922	1922	1923.jp2	/p15140coll21/image/1923.jp2
Burning the marsh	1982	Burning the marsh, 1982.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Burning of land--Louisiana; Marshes--Louisiana	Landforms	Marshes	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	319	ddavis0086.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1923	1923	1924.jp2	/p15140coll21/image/1924.jp2
Sign for Camp at Point aux Chenes Marina, LA	1997	Sign Spec-Tacular with Fish, Camp at Pointe-aux-Chenes Marina, Terrebonne Parish, 1997.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Fishing--Louisiana; Signs and signboards--Louisiana	Signage, Hunting	Commercial, Guides and camps	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	21	ddavis0091.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1924	1924	1925.jp2	/p15140coll21/image/1925.jp2
Sign for camp rentals	1997	Camp Rentals sign, Falgout Canal, LA, 1997.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana; Camping--Louisiana	Signage, Hunting	Commercial, Guides and camps	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	22	ddavis0092.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1925	1925	1926.jp2	/p15140coll21/image/1926.jp2
Camp sign	1976	Camp sign, 1976.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana; Boathouses--Louisiana	Signage, Hunting	Commercial, Guides and camps	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	23	ddavis0093.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1926	1926	1927.jp2	/p15140coll21/image/1927.jp2
Sign for Cookie Monster	1982	Sign for Cookie Monster T-1037.		TIF	Donald W. Davis Slide Collection, Louisiana Sea Grant Collection Images, Louisiana Digital Libraries.	Davis, Donald W.	Signs and signboards--Louisiana; Food--Louisiana	Signage	Commercial	Donald W. Davis Collection	Physical rights are retained by Donald W. Davis. Copyright is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	24	ddavis0094.tif																				2010-09-07	2012-04-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1927	1927	1928.jp2	/p15140coll21/image/1928.jp2
