Title	Photographer	Date	Subject	Description	Type	Original Format	Original Size	Collection Number	Digital Collection	Repository Collection	Repository	Digital Reproduction Information	Restrictions	Cite As	Contact and Ordering Information	Item URL	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Pratt Family Portrait	Donn Young	2003 April 16	New Orleans (La.)--Photographs;Families--Portraits;Adoption--Photographs;	Catholic Charities of New Orleans Adoption Services. Pratt Family picture, Mom, Dad, 2 kids.	Image	TIF	16.9 MB	494438184a38176-84	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/125	125	126.jpg	Volume15\494438184a38176-84.tif	/LSU_DYP/image/126.jpg
Gardenia	Donn Young	2003 March 12	New Orleans (La.)--Photographs;Flowers--Photographs;Gardenia--Photographs;	Image of unopened gardenia in a vase on a table.	Image	TIF	6.22 MB	494438215a040rev	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/126	126	127.jpg	Volume15\494438215a040rev.tif	/LSU_DYP/image/127.jpg
Propeller Club	Donn Young	2003 May 18	New Orleans (La.)--Photographs;World Trade Center of New Orleans--Photographs;Propeller Club of the United States--Photographs;Speeches, addresses, etc.--Photographs;	Speech given by an unknown man at the Plimsoll Club of the World Trade Center of New Orleans.	Image	TIF	16.9 MB	494438217a022	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/127	127	128.jpg	Volume15\494438217a022.tif	/LSU_DYP/image/128.jpg
American Association of Port Authorities	Donn Young	2003 May 16	New Orleans (La.)--Photographs; American Association of Port Authorities--Photographs; Running races--Photographs;	Runners in a race in front of the Napoleon Avenue Wharf.	Image	TIF	16.8 MB	494438218a073	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/128	128	129.jpg	Volume15\494438218a073.tif	/LSU_DYP/image/129.jpg
Alonso Grappa’s House Restaurant and Bar	Donn Young	2006 April 24	New Orleans (La.)--Photographs; Restaurants--Photographs; Cooks--Photographs;	Two chefs holding glasses of wine up in toast at the bar of the restaurant.	Image	TIF	16.8 MB	494438222a020	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/129	129	130.jpg	Volume15\494438222a020.tif	/LSU_DYP/image/130.jpg
Cemetery at Sunset	Tracie Morris Schaefer	2001 October 25	New Orleans (La.)--Photographs;Cemeteries--Photographs;	From New Orleans Stock file, Cemetery 3, image of tombs with crosses on top at sunset.	Image	TIF	.33 MB	494438229a003	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by Tracie Morris Schaefer. Copyright of the original material is retained in accordance with U.S. copyright laws.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2008-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/130	130	131.jpg	Volume15\494438229a003.tif	/LSU_DYP/image/131.jpg
Night View of a Bridge	Donn Young	2003 February 03	New Orleans (La.)--Photographs;Night photography;Bridges--Photographs;	View of framework of a bridge at night with lights on.	Image	TIF	4.83 MB	494438229a006	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/131	131	132.jpg	Volume15\494438229a006.tif	/LSU_DYP/image/132.jpg
Purple Staircase	Donn Young	2001 October 25	New Orleans (La.)--Photographs;Staircases--Photographs;	In New Orleans Stock folder, "Lentz Purple" purple staircase.	Image	TIF	4.8 MB	494438229a016	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/132	132	133.jpg	Volume15\494438229a016.tif	/LSU_DYP/image/133.jpg
Selling Produce	Donn Young	2003 February 21	New Orleans (La.)--Photographs;Farm produce--Photographs;	image of a woman selling varying types of green leaved produce.	Image	TIF	16.8 MB	494438229a36456-18	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/133	133	134.jpg	Volume15\494438229a36456-18.tif	/LSU_DYP/image/134.jpg
Kermit Ruffins	Donn Young	2001 October 25	New Orleans (La.)--Photographs;Ruffins, Kermit--Photographs;Musicians--Photographs;	Black and white image of musician Kermit Ruffins for his CD cover.	Image	TIF	153 MB	494438229a4kermit	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/134	134	135.jpg	Volume16\494438229a4kermit.tif	/LSU_DYP/image/135.jpg
Peppers	Donn Young	2003 February 17	New Orleans (La.)--Photographs;Cookery (Peppers)--Photographs;Peppers--Photographs;	Image of several types of peppers arranged specifically for photo.	Image	TIF	.31 MB	494438229ap	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/135	135	136.jpg	Volume16\494438229ap.tif	/LSU_DYP/image/136.jpg
Ambassador Chan Heng Chee (Singapore) and Lindy Boggs	Tracie Morris Schaefer	2002 December 18	New Orleans (La.)--Photographs; Boggs, Lindy, 1916---Photographs; Chan, Heng Chee--Photographs;	Ambassador Chan Heng Chee (Singapore) meeting with Lindy Boggs.	Image	TIF	2.37 MB	494438230a008	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights are retained by Tracie Morris Schaefer. Copyright of the original material is retained in accordance with U.S. copyright laws.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2008-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/136	136	137.jpg	Volume16\494438230a008.tif	/LSU_DYP/image/137.jpg
Punk Wedding	Donn Young	2001 October 25	New Orleans (La.)--Photographs;Weddings--Photographs;Punk culture--Photographs;	From wedding folder: unknown bride and groom kissing, groom has a mohawk, bride is holding a beer bottle and sunglasses, they are in a bar.	Image	TIF	3.59 MB	494438231a001	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/137	137	138.jpg	Volume16\494438231a001.tif	/LSU_DYP/image/138.jpg
Karen and Dominique	Donn Young	2001 October 25	New Orleans (La.)--Photographs;Weddings--Photographs;Married people--Photographs;Jackson Square (New Orleans, La.)--Photographs;	Black and White image of bridal couple in Jackson Square with the Cathedral and statue in the background.	Image	TIF	84.9 MB	494438231a002	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/138	138	139.jpg	Volume16\494438231a002.tif	/LSU_DYP/image/139.jpg
Jessica	Donn Young	2001 October 25	New Orleans (La.)--Photographs;Brides--Photographs;Weddings--Photographs;	Portrait of a Bride.	Image	TIF	19.2 MB	494438231a003	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/139	139	140.jpg	Volume16\494438231a003.tif	/LSU_DYP/image/140.jpg
Lumber Industry	Donn Young	2003 June 17	New Orleans (La.)--Photographs;Lumber trade--Photographs;Forklift trucks--Photographs;Industries--Photographs.	Men operating forklifts working with bundles of lumber.	Image	TIF	16.8 MB	49443824638248a107	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/140	140	141.jpg	Volume16\49443824638248a107.tif	/LSU_DYP/image/141.jpg
Ambulatory Surgery Center of Opelousas	Donn Young	2003 August 01	New Orleans (La.)--Photographs; Hospitals--Photographs;	Image of hospital room with curtains to divide area into private sections.	Image	TIF	16.9 MB	494438270a030	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/141	141	142.jpg	Volume16\494438270a030.tif	/LSU_DYP/image/142.jpg
Ambulatory Surgery Center of Opelousas	Donn Young	2003 August 01	New Orleans (La.)--Photographs; Hospitals--Photographs;	Exterior of building.	Image	TIF	16.8 MB	494438270b004	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/142	142	143.jpg	Volume16\494438270b004.tif	/LSU_DYP/image/143.jpg
Ambulatory Surgery Center of Opelousas 3	Donn Young	2003 August 01	New Orleans (La.)--Photographs; Hospitals--Photographs;	Close up of entrance to the hospital.	Image	TIF	16.8 MB	494438270b008	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/143	143	144.jpg	Volume16\494438270b008.tif	/LSU_DYP/image/144.jpg
Doctors Hospital of Slidell	Donn Young	2003 August 3	New Orleans (La.)--Photographs;Hospitals--Photographs;	Image of exterior of building entrance from the side.	Image	TIF	16.8 MB	494438271a064	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/144	144	145.jpg	Volume16\494438271a064.tif	/LSU_DYP/image/145.jpg
Long Girls	Donn Young	2003 December 23	New Orleans (La.)--Photographs;Long, Danielle--Photographs;Young women--Photographs;	Danielle Long and unknown girl, probably her sister.	Image	TIF	.90 MB	494438283c033	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/145	145	146.jpg	Volume16\494438283c033.tif	/LSU_DYP/image/146.jpg
Superdome	Donn Young	2003 August 18	New Orleans (La.)--Photographs;Superdome (New Orleans, La.)--Photographs;	Aerial photograph of the Superdome.	Image	TIF	16.8 MB	494438285a004	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/146	146	147.jpg	Volume16\494438285a004.tif	/LSU_DYP/image/147.jpg
Unidentified building complex	Donn Young	2003 August	New Orleans (La.)--Photographs;Aerial photographs;	Aerial photograph of an unidentified complex of buildings in a u-shape with flat roofs, look abandoned.	Image	TIF	16.8 MB	494438285a008	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/147	147	148.jpg	Volume16\494438285a008.tif	/LSU_DYP/image/148.jpg
Modern Salon Trade Show	Donn Young	2003 September 06	New Orleans (La.)--Photographs;Hair--Photographs;	Photographs from Alternative Hair Show, a woman giving a demonstration dealing with hair to a crowd of people.	Image	TIF	16.8 MB	494438311a035	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/148	148	149.jpg	Volume16\494438311a035.tif	/LSU_DYP/image/149.jpg
Longue Vue House and Gardens	Donn Young	2003 September 29	New Orleans (La.)--Photographs;Plantations--Louisiana--Photographs;Architecture--Photographs;	Exterior view of Longue Vue House down front walkway with large oak trees along the sides and outbuildings on the edges of the image.	Image	TIF	16.8 MB	494438826a024	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/149	149	150.jpg	Volume16\494438826a024.tif	/LSU_DYP/image/150.jpg
Longue Vue House and Gardens	Donn Young	2003 September 29	New Orleans (La.)--Photographs;Plantations--Louisiana--Photographs;Architecture--Photographs;	Rear view of Longue Vue House and Gardens.	Image	TIF	16.8 MB	494438826a027	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/150	150	151.jpg	Volume16\494438826a027.tif	/LSU_DYP/image/151.jpg
