Common name (Title of work)	Scientific name (Species)	Family name (English)	Family name (Latin)	Habitat	Related drawings	Artist	Date(s) collected	Coverage-Temporal	Publisher	Place collected	Name(s) of collector(s)	Description	Notes	Language	Original Format	Original Size	Digital Format	Repository	Cataloger	Restrictions	Cite As	Cataloged Date	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Contact and Ordering Information	Item URL	Object File Name	Collection URL	Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
White Texas Trillium	Trillium texanum Buckl.	Lily Family	LILIACEAE			Stones, Margaret	April 4, 1984	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Caddo Parish	MacRoberts, D.T.	"The rare white Texas trillium inhabits rich, wet woodlands and is known from a few counties in eastern Texas and from Caddo Parish, Louisiana.  It was not discovered in Louisiana until 1977.  Because of its rareness, Trillium texanum is being considered for protection under the Federal Endangered Species Act.  It is the only species in Louisiana with white flowers and the only one in this state that represents the subgenus of Trillium characterized by stalked flowers.  Although several species in the subgenus have nodding flowers, white Texas trillium has upright flowers.  Like other trilliums, its leaflike bracts, sepals, petals, and pistil are three-parted, and its stamens number six.  The bracts of white Texas trillium are not mottled like those of other trilliums in Louisiana but uniformly green.  The few populations in Caddo Parish occur in remote areas and apparently are not in imminent danger of extinction, unless forestry activities significantly alter the sites.  Trilliums would make interesting garden plants if grown in natural habitats.  Propagation by seeds is usually successful, but two or three years are required for plants to flower."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p.	Plant on left	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-28	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	19.1 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-09-23	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000210	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-28	2006-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/218	218	218.jp2		/MSW/image/218.jp2
Woodland Red Trillium	Trillium recurvatum Beck	Lily Family	LILIACEAE			Stones, Margaret	April 4, 1984	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Caddo Parish	MacRoberts, D.T.	"Woodland red trillium, like red trillium, has three mottled, leaflike bracts and a single, sessile, upright flower.  Woodland red trillium, however, is somewhat taller, often growing to about fifteen inches in height, and has larger bracts and larger flowers with strongly reflexed sepals, a feature noted in its specific epithet.  The flowers of the Trillium recurvatum lack the strong, unpleasant, carrionlike odor of red trillium.  Woodland red trillium has petals that bow outward in the middle and anthers that curve inward.  This species grows more abundantly in Illinois and Indiana and reaches the southern limit of its geographic range in northern Louisiana, where it has been recorded from about seven parishes.  Trillium is a genus mostly of temperate areas.  Approximately forty of its fifty species grow in North America; the remainders are found in Asia.  The genus is traditionally divided into two groups: one with stalked flowers, the other with stalkless flowers.  Four of the five species, native to Louisiana, belong to the latter group."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 118	Plant on right	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-28	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	19.1 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-09-23	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000210	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-28	2006-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/219	219	219.jp2		/MSW/image/219.jp2
Horned Bladderwort	Utricularia cornuta Michx.	Bladderwort Family	LENTIBULARIACEAE			Stones, Margaret	August 22, 1983	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	St. Tammany Parish	Barker, Nancy; Givens, Florence M.; Rebertus, Alan	"Horned bladder wort grows in water, in floating mats, and on land.  When growing in a terrestrial habitat, it has creeping stems near the soil surface, and its narrow, simple, filiform leaves can be seen only if the soil is gently washed away from the stems.   Its bladders, or traps, are minute and are borne along the leaf margins.  Upright scapes to about one foot tall appear from summer to fall and normally support from one to as many as nine flowers.  Its bright yellow corollas are about one inch wide with a helmet shaped lower lip and a down turned spur about one-half inch long.  Horned bladderwort grows in the shallow water of ponds and ditches and in the wet soil of bogs and wet pinewoods of the eastern United States and southeastern Canada.  Utricularia is a large, worldwide genus of mostly aquatic or wetland plants, but some South American species grow as epiphytes.  Approximately ten other species of bladderworts are known to grow in Louisiana."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 104	Purple bladderwort (Utricularia purpurea) also appears on this drawing.	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-28	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	19.4 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-09-23	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000211	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-28	2006-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/220	220	220.jp2		/MSW/image/220.jp2
Purple Bladderwort	Utricularia purpurea Walt.	Bladderwort Family	LENTIBULARIACEAE			Stones, Margaret	August 22, 1983	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	St. Tammany Parish	Barker, Nancy; Givens, Florence M.; Rebertus, Alan	"Purple bladderwort grows in pools of quiet water throughout much of eastern North America, the West Indies, and Central America.  Although widely distributed, this species is uncommon in Louisiana and has been reported from only a few of its southern parishes.  It is readily recognizable by its two to five purple flowers borne on upright racemes, which rise about six inches above the water.  Corollas of this plant are approximately one-half inch across with a short, blunt, cone-shaped spur.  The upper lip of the corolla is flat to concave, and the lower one is three-lobed and has a basal, yellow spot.  Stems of purple bladderwort float below the water's surface and have whorls of from five to seven branches on each node.  The branches themselves may bear whorls of smaller branches that sometimes terminate in a bladder for trapping small aquatic creatures."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p.104	Horned Bladderwort (Utricularia cornuta) also appears on this drawing.	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-28	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	19.4 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-09-23	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000211	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-28	2006-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/221	221	221.jp2		/MSW/image/221.jp2
Floating Bladderwort	Utricularia inflata Walt.	Bladderwort Family	LENTIBULARIACEAE			Stones, Margaret	March 23, 1982	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Tangipahoa Parish	Hawkins, Julia	"Baldderworts are aquatic, usually rootless, carnivorous plants often having whorls of feathery branches.  Sophisticated traps attached on short stalks along the branches are adapted to catch very small animals.  The traps are tiny, sacklike structures in which develops negative pressure, caused by the activities of associated glands.  A small insect or crustacean swimming near the entrance to the trap will brush against the several bristles, stimulating a flap of tissue-the door-that guards the entrance to open suddenly.  Water flows into the trap, sweeping the animal with it.  The door closes, entrapping the tiny creature, which is subsequently digested.  Floating bladderwort grows in shallow ponds and ditches in the coastal plain of the Southeast.  From its base radiate several branches with swollen stalks and midribs that function as flotation devices supporting the flower stalks.  Located along the branches are the numerous traps.  Its inflorescence consists of from five to fifteen flowers.  The corollas are golden yellow, spurred, and two-lipped, and the lower lip is often streaked or dotted with red."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p.110		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-28	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	19.2 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-10-07	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000212	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-28	2006-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/222	222	222.jp2		/MSW/image/222.jp2
Bellwort	Uvularia sessilifolia L.	Lily Family	LILIACEAE			Stones, Margaret	March 13, 1982	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Lincoln Parish	Thomas, R. Dale; Urbatsch, Lowell E.	"Bellwort is a delicate perennial that grows on rich, wooded hillsides.  Its shoots emerge from a slender rhizome in the early spring.  Their yellow-green, elliptic leaves are at first folded and closely clustered as the stem emerges, but they become more widely separated after they fully elongate.  The pendant flowers, which appear with the new leaves, are a pale yellow.  Their corollas are each composed of six similar segments and surround the six stamens and the three-parted ovary.  Uvularia seems to be an unusual name for a plant.  Apparently, the manner in which the pretty, pendant flowers hang from the inflorescence reminded Linnaeus, who named the plant, of the uvula of the palate.  This eastern North American genus belongs in the lily family and contains five species.  Besides U. sessilifolia, one other species, U. perfoliata, grows in Louisiana.  The former is known only from some of the northern parishes, and the latter is restricted to the extreme southeastern part of the state."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 140		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-28	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	19.3 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-10-07	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000213	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-28	2006-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/223	223	223.jp2		/MSW/image/223.jp2
Tree Huckleberry	Vaccinium arboreum Marsh.	Heath Family	ERICACEAE			Stones, Margaret	April 5, 1978 (flowers); September 25, 1982 (fruit)	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	West Feliciana Parish	Odenwald, Neil	"Tree huckleberry is commonly found in upland areas throughout Louisiana, except for the coastal and Mississippi River floodplain parishes.  This plant, normally a large shrub, may grow as tall as thirty feet.  Its many outstanding qualities include its grayish brown outer bark, which peels off to reveal the reddish bard underneath.  Its alternate, elliptic leaves are glossy green in summer, become purple to red in autumn, and are tardily deciduous.  In the spring, a profusion of white, pendulous, urn-shaped, lily-of-the-valley-like-flowers appear on leafy racemes.  Ten rather complex stamens with a sterile appendage and awns are concealed within the corolla.  The dark purplish berries, about one-quarter of an inch in diameter, often persist on the plant well into the winter months.  Although this species is a close relative of various commercially grown blueberries, its fruits are rather dry and flavorless.  Tree huckleberry provides food for wildlife and has a number of potential uses in the landscape as well."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 56	Common name as appears on drawing is Sparkleberry. Collection date for flowers as appears on drawing is April 5, 1982.	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-28	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	19.4 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-10-07	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000214	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-28	2006-12-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/224	224	224.jp2		/MSW/image/224.jp2
Rose Vervain	Glandularia canadensis L. Nutt. [Verbena canadensis (L.) Britt.]	Vervain Family	VERBENACEAE			Stones, Margaret	April 19, 1979	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Assumption Parish	Bourque, Vergil; Urbatsch, Lowell E.	"Masses of rose vervain offer intense springtime floral displays in sandy fields and open pinelands and along roadsides.  Slightly convex clusters crowded with flowers develop at the tips of the sprawling stems of this perennial plant.  True to its vervain character, the slender corolla tube abruptly expands into five lobes, exhibiting a slight degree of bilateral symmetry.  Included within the corolla tube are two pairs of stamens inserted at two different levels.  Opposite, deeply lacerate leaves are attached at regular intervals to the four-angled stems.  Rose vervain and a few other species are planted for their showy flowers.  Gladnularia is often included within Verbena, a genus of approximately two hundred species distributed throughout much of the Americas."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 140	Drawing notes: "The pink colour used for the flowers may be fugitive."	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-28	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	19.4 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-10-07	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000223	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-28	2006-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/225	225	225.jp2		/MSW/image/225.jp2
Giant Ironweed or Meadow Queen	Vernonia gigantea (Walt.) Trel. ex Branner & Cov.	Sunflower Family	ASTERACEAE			Stones, Margaret	October 9, 1979	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	East Baton Rouge Parish	Doty, Gresdna	"Giant ironweed grows along roadsides and in pastures and becomes conspicuous in the late summer and the autumn by its tall, somewhat flat-topped clusters of purple heads.  This member of the sunflower family has crowded, alternate, lanceolate leaves along its unbranched, upright stem that may grow to twelve feet tall.  Its branching inflorescence, like that of other members of this plant family, contains many heads composed of numerous individual flowers.  In the case of giant ironweed, only disk flowers with radially symmetric, five-lobed corollas occur in the heads.  Attached immediately outside the corolla's base are numerous bristlelike structures, collectively called the pappus, which function in dispersing the attached fruit.  Giant ironweed and some of its relatives, because of their aggressive growth characteristics, tend to become weedy in pastures that are overgrazed and may be indicators of abusive land practices.  Vernonia, a genus of about a thousand species, is most diverse in South America and Africa.  Approximately eighteen species are known from the eastern United States, and four of these grow in Louisiana."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 46	Common name that appears on drawing is Ironweed.   The drawing notes, "Caution! This colour may be fugitive."  Common name as appears on the drawing is Ironweed.	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-28	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	19.4 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-10-07	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000215	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-28	2006-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/226	226	226.jp2		/MSW/image/226.jp2
Possum Haw	Viburnum nudum L.	Honeysuckle Family	CAPRIFOLIACEAE			Stones, Margaret	April 26, 1982	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	St. Tammany Parish	Givens, Florence M.	"Possum haw is widely distributed in eastern North America and is found throughout most of noncoastal Louisiana.  It occurs in various wetland habitats such as swamps, bays, and wet woodlands.  This large shrub or small tree may grow to nearly twenty feet tall.  Possum haw is readily characterized by its opposite, smooth-margined, relatively short, petiolate leaves.  Rusty scales generally are seen on leaf undersides, petioles, and young twigs.  Flowers of the possum haw are arranged in somewhat-rounded, compact clusters that may be up to six inches in diameter.  Each flower has five very small sepals, a pale, yellowish white corolla of five partially fused petals, and five stamens.  The elliptical, deep blue fruits are covered with a whitish bloom.  If possum haw receives full sunlight, it is practically covered with attractive flower clusters.  The unpleasant odor emitted by the flowers limits the use of this species as a garden ornamental.  Six other species of Viburnum are native to Louisiana, and several exotic ones are grown ornamentally."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 50		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-28	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	19.4 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-10-07	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000216	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-28	2006-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/227	227	227.jp2		/MSW/image/227.jp2
Narrow-Leaved White Violet	Viola lanceolata L. ssp. Vittata (Greene) Russell	Violet Family	VIOLACEAE			Stones, Margaret	April 26, 1982	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	St. Tammany Parish	Givens, Florence M.	"The narrow-leaved white violet (left) is one of the two white-flowered species that commonly grows in Louisiana.  It is a so-called stemless type, which means it has short, underground stems.  Its leaves form a rosette, and the first ones to appear in the spring are much shorter and wider than the narrowly lanceolate ones that appear later.  The plant's solitary, nodding buds are supported on long stalks.  Upon opening, the flowers, like those of other violets, are bilaterally symmetrical with five sepals and petals.  The intricate veins on the lower half of the spurred petal are purple, while the upper half of this petal and the other four petals are white, sometimes with faintly colored veins.  Narrow-leaved white violet is distributed throughout eastern North America.  The species usually grows in moist, sunny locations in wet pine savannas and along ditches and woodland borders.  Although the violet family in North America essentially consists of the genus Viola, it contains several species of tropical shrubs belonging to several different genera."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 208	Viola lanceolata ssp. Vittata (Narrow-Leaved White Violet) on left and viola primulifolia (White Violet) on right.  Common name as appears on drawing is Lance-Leaved Violet. 	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-28	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	19.3 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-10-07	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000217	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-28	2006-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/228	228	228.jp2		/MSW/image/228.jp2
White Violet	Viola primulifolia L.	Violet Family	VIOLACEAE			Stones, Margaret	May 15, 1982	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Allen Parish	Hawkins, Mrs. R. M.	"The white violet (right) is exceedingly common in wet habitats such as bogs, ditch banks, and woodland streams throughout most of Louisiana.  It is a stemless, white-flowered species that is readily distinguished from Viola lanceolata by its broader, shorter leaves and often heart-shaped leaf bases.  Its spurred lower petal and its two lateral petals have violet to somewhat brownish veins.  The lateral petals may bear several crowded hairs at their bases, forming a so-called beard.  Its fruit, like that of other violets, is a three-parted capsule that opens rather explosively in order to disseminate its seeds more widely.  Violets are relatively easy to grow as ornamentals if planted in a rich, moist, somewhat-shady habitat."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 208	Viola lanceolata ssp. Vittata (Narrow-Leaved White Violet) on left and Viola primulifolia (White Violet) on right.  Common name as appears on drawing is Primrose-Leaved Violet. 	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-28	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	19.3 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-10-07	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000217	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-28	2006-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/229	229	229.jp2		/MSW/image/229.jp2
