Title	Date	Author	Subject Terms	Geographic Terms	Publication Information	Physical Description	Notes	Call No./Stacks location	Category	Contributors	Type	Format	Language	Relation	Rights	Audience	FILE NAME	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
ReportUponThePhysicsAndHydraulicsOfTheMSRiver_Part5																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/326	326	327.pdf	/p16313coll35/image/327.pdf
ReportUponThePhysicsAndHydraulicsOfTheMSRiver_Part6																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/327	327	328.pdf	/p16313coll35/image/328.pdf
ReportUponThePhysicsAndHydraulicsOfTheMSRiver_Part7																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/328	328	329.pdf	/p16313coll35/image/329.pdf
ReportUponThePhysicsAndHydraulicsOfTheMSRiver_Part8																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/329	329	330.pdf	/p16313coll35/image/330.pdf
ReportUponThePhysicsAndHydraulicsOfTheMSRiver_Part9																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/330	330	331.pdf	/p16313coll35/image/331.pdf
Report upon the physics and hydraulics of the Mississippi river	1861	Humphreys, A. A. (Andrew Atkinson), 1810-1883.		Mississippi River	Philadelphia, J.B. Lippincott & Co., 1861.	xxiv, 17-456, cxlvi p. xx fold. pl. (incl. maps, diagrs.) tables. 34 cm.		TC425 .M6 H6 1861 LARF											2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/331	331	332.cpd	/p16313coll35/image/332.cpd
Report made by the Board of State Affairs on the levee boards of Louisiana to the General Assembly of Louisiana for the regular session of 1918. April 1, 1918	1918	Louisiana. Tax Commission, 1921-	Levees--Mississippi River; Hydraulic engineering--Louisiana; Levees--Louisiana		Baton Rouge, Ramires-Jones Printing Co. [1918]	199 p. incl. tables. 23 cm.		TC425 .M63 L7 1918	Flood control										2013-06-18	2013-06-18	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/332	332	333.pdf	/p16313coll35/image/333.pdf
Government control with cooperation of riparian states and cities in the construction and maintenance of levees, banks revetments and channel enlargements for the rivers of the Mississippi Valley	1912	Louisiana Engineering Society	Flood dams and reservoirs.; Rivers--Regulation.	Mississippi River	[New Orleans, Dameron-Pierson Co.] 1912.	48 p. ; 23 cm.		TC425 .M62 M58											2013-06-19	2013-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/333	333	334.pdf	/p16313coll35/image/334.pdf
Annual report upon the improvement of the navigation of Red River, Louisiana, and of certain rivers in Louisiana, Texas, Mississippi, Arkansas, and Tennessee, and water-gauges on the Mississippi and its principal tributaries in charge of J.H. Willard : being Appendix W of the Annual report of the Chief of Engineers for 1890	1890	Willard, J. H.	River engineering--Louisiana; River engineering--Texas; River engineering--Mississippi; River engineering--Arkansas; River engineering--Tennessee	Red River (Tex.-La.)--Navigation; Mississippi River--Navigation	Washington : Govt. Print. Office, 1890.	1 v. (various pagings) : ill. ; 23 cm.		TC423.5 .W55 1890											2013-06-19	2013-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/334	334	335.pdf	/p16313coll35/image/335.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume4_Part01																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/335	335	336.pdf	/p16313coll35/image/336.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume4_Part02																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/336	336	337.pdf	/p16313coll35/image/337.pdf
Atchafalaya Basin floodway system, Louisiana, Feasibility Study 4, public views and responses	1982	United States. Army. Corps of Engineers. New Orleans District.	Flood control--Louisiana.	Atchafalaya Basin.	New Orleans : The Corps, 1982.	4 v. : ill., maps ; 28 cm.	v.4. Public views and responses; On cover: Feasibility study.	D 103.62:AT 21/X/v. 1											2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/337	337	338.cpd	/p16313coll35/image/338.cpd
AtchafalayaBasinFloodwaySystemLouisianaVolume1_Part001																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/338	338	339.pdf	/p16313coll35/image/339.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume1_Part002																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/339	339	340.pdf	/p16313coll35/image/340.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume1_Part003																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/340	340	341.pdf	/p16313coll35/image/341.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume1_Part004																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/341	341	342.pdf	/p16313coll35/image/342.pdf
Atchafalaya Basin floodway system, Louisiana, Feasibility Study, main report and final EIS	1982	United States. Army. Corps of Engineers. New Orleans District.	Flood control--Louisiana.	Atchafalaya Basin.	New Orleans : The Corps, 1982.	4 v. : ill., maps ; 28 cm.	v.1. Main report and final environmental impact statement; On cover: Feasibility study.	D 103.62:AT 21/X/v. 2											2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/342	342	343.cpd	/p16313coll35/image/343.cpd
AtchafalayaBasinFloodwaySystemLouisianaVolume2_Part01																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/343	343	344.pdf	/p16313coll35/image/344.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume2_Part02																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/344	344	345.pdf	/p16313coll35/image/345.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume2_Part03																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/345	345	346.pdf	/p16313coll35/image/346.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume2_Part04																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/346	346	347.pdf	/p16313coll35/image/347.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume2_Part05																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/347	347	348.pdf	/p16313coll35/image/348.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume2_Part06																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/348	348	349.pdf	/p16313coll35/image/349.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume2_Part07																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/349	349	350.pdf	/p16313coll35/image/350.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume2_Part08																			2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/350	350	351.pdf	/p16313coll35/image/351.pdf
Atchafalaya Basin floodway system, Louisiana, Feasibility Study, tech appendices A-D	1982	United States. Army. Corps of Engineers. New Orleans District.	Flood control--Louisiana.	Atchafalaya Basin.	New Orleans : The Corps, 1982.	4 v. : ill., maps ; 28 cm.	v.2. Technical appendixes A, B, C, and D; On cover: Feasibility study.	D 103.62:AT 21/X/v. 4											2013-06-21	2013-06-21	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/351	351	352.cpd	/p16313coll35/image/352.cpd
AmiteRiverAndTributariesFeasibilityStudyM-CACES_Part01																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/369	369	370.pdf	/p16313coll35/image/370.pdf
AmiteRiverAndTributariesFeasibilityStudyM-CACES_Part02																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/370	370	371.pdf	/p16313coll35/image/371.pdf
Amite River and tributaries, Louisiana, EBR Parish watershed, flood control projects, feasibility study, M-CACES estimate	1995 	United States. Army. Corps of Engineers. New Orleans District. 	Flood control--Louisiana--Amite River. 		New Orleans : U.S. Army Corps of Engineers, New Orleans District, 1995. 	5 v. : ill., maps (some folded) ; 28 cm. 	[v. 5]. M-CACES estimate; Cover title; Revised draft; February 1995. 	D 103.62:AM 5/7 X/M-CACES 											2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/371	371	372.cpd	/p16313coll35/image/372.cpd
AmiteRiverAndTributariesFeasibilityStudyVolume1_Part01																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/372	372	373.pdf	/p16313coll35/image/373.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume1_Part02																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/373	373	374.pdf	/p16313coll35/image/374.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume1_Part03																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/374	374	375.pdf	/p16313coll35/image/375.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume1_Part04																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/375	375	376.pdf	/p16313coll35/image/376.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume1_Part05																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/376	376	377.pdf	/p16313coll35/image/377.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume1_Part06																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/377	377	378.pdf	/p16313coll35/image/378.pdf
Amite River and tributaries, Louisiana, EBR Parish watershed, flood control projects, feasibility study, v.1	1995 	United States. Army. Corps of Engineers. New Orleans District. 	Flood control--Louisiana--Amite River. 		New Orleans : U.S. Army Corps of Engineers, New Orleans District, 1995. 	5 v. : ill., maps (some folded) ; 28 cm. 	v. 1. Main report: environmental impact statement; Cover title; Revised draft; February 1995. 	D 103.62:AM 5/7 X/V.1 											2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/378	378	379.cpd	/p16313coll35/image/379.cpd
AmiteRiverAndTributariesFeasibilityStudyVolume2_Part01																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/379	379	380.pdf	/p16313coll35/image/380.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume2_Part02																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/380	380	381.pdf	/p16313coll35/image/381.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume2_Part03																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/381	381	382.pdf	/p16313coll35/image/382.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume2_Part04																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/382	382	383.pdf	/p16313coll35/image/383.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume2_Part05																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/383	383	384.pdf	/p16313coll35/image/384.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume2_Part06																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/384	384	385.pdf	/p16313coll35/image/385.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume2_Part07																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/385	385	386.pdf	/p16313coll35/image/386.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume2_Part08																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/386	386	387.pdf	/p16313coll35/image/387.pdf
Amite River and tributaries, Louisiana, EBR Parish watershed, flood control projects, feasibility study, v.2	1995 	United States. Army. Corps of Engineers. New Orleans District. 	Flood control--Louisiana--Amite River. 		New Orleans : U.S. Army Corps of Engineers, New Orleans District, 1995. 	5 v. : ill., maps (some folded) ; 28 cm.	v. 2. Appendices A, B, and C; Cover title; Revised draft; February 1995. 	D 103.62:AM 5/7 X/V.2 											2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/387	387	388.cpd	/p16313coll35/image/388.cpd
AmiteRiverAndTributariesFeasibilityStudyVolume3_Part01																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/388	388	389.pdf	/p16313coll35/image/389.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume3_Part02																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/389	389	390.pdf	/p16313coll35/image/390.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume3_Part03																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/390	390	391.pdf	/p16313coll35/image/391.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume3_Part04																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/391	391	392.pdf	/p16313coll35/image/392.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume3_Part05																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/392	392	393.pdf	/p16313coll35/image/393.pdf
Amite River and tributaries, Louisiana, EBR Parish watershed, flood control projects, feasibility study, v.3	1995 	United States. Army. Corps of Engineers. New Orleans District. 	Flood control--Louisiana--Amite River. 		New Orleans : U.S. Army Corps of Engineers, New Orleans District, 1995. 	5 v. : ill., maps (some folded) ; 28 cm. 	v. 3. Appendices D, E, F, and G; Cover title; Revised draft; February 1995. 	D 103.62:AM 5/7 X/V.3 											2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/393	393	394.cpd	/p16313coll35/image/394.cpd
AmiteRiverAndTributariesFeasibilityStudyVolume4_Part01																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/394	394	395.pdf	/p16313coll35/image/395.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume4_Part02																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/395	395	396.pdf	/p16313coll35/image/396.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume4_Part03																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/396	396	397.pdf	/p16313coll35/image/397.pdf
AmiteRiverAndTributariesFeasibilityStudyVolume4_Part04																			2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/397	397	398.pdf	/p16313coll35/image/398.pdf
Amite River and tributaries, Louisiana, EBR Parish watershed, flood control projects, feasibility study, v.4	1995 	United States. Army. Corps of Engineers. New Orleans District. 	Flood control--Louisiana--Amite River. 		New Orleans : U.S. Army Corps of Engineers, New Orleans District, 1995. 	5 v. : ill., maps (some folded) ; 28 cm. 	v. 4. Appendices H, I, J, and K; Cover title; Revised draft; February 1995. 	D 103.62:AM 5/7 X/V.4 											2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/398	398	399.cpd	/p16313coll35/image/399.cpd
Report of a Majority of the Comittee on the Subject of the Raccourci Cut-off [Red River dam]	1846	Louisiana. Legislature. Senate. Committee on Raccourci Cut-off.	Inland navigation	Red River (Tex.-La.)--Navigation.	New Orleans : s.n., 1846?	37 p. ; 21 cm.	Includes: Report of the State Engineer, in relation to the obstructions at the mouth of Red River (p. 23-30) : New Orleans, 1843. Report of the minority of the Committee on Internal Improvements (p. 30-37).	TC425 .R4 L84 1846 LARA	inland navigation										2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/400	400	401.pdf	/p16313coll35/image/401.pdf
Commerce of the Lakes and Western Rivers	1848	United States. Army. Corps of Topographical Engineers.	Inland navigation--United States--History--19th century; Inland water transportation--United States--History--19th century	Great Lakes (North America)--Commerce; United States--Commerce--History--19th century	Washington, D.C., 1848	51 p. 25 cm.	Caption title; January 12, 1848. Read, and referred to the Committee on Commerce; At head of title: Thirtieth Congress, first session. Ex. doc. no. 19. House of Representatives; Librarys LLMVC Rare copy has no accompanying map.	HF3157 .A4 1848 LARA	inland navigation										2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/401	401	402.pdf	/p16313coll35/image/402.pdf
Atchafalaya River and Bayous Chene, Boeuf, and Black, Louisiana, associated water features	1973 	United States. Army. Corps of Engineers. New Orleans District. 	Inland navigation--Louisiana; Water resources development--Louisiana; Environmental protection--Louisiana; Stream channelization--Louisiana; Dredging--Environmental aspects--Louisiana; Environmental impact statements--Louisiana. 	Atchafalaya River (La.); Chene Bayou (La.); Bayou Boeuf (La.); Black Bayou (La.) 	New Orleans : The District, 1973. 	61, [62] leaves : 2 maps ; 27 cm. 	At head of title: Final environmental statement; March 1973. 	D 103.1000:973-1 											2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/403	403	404.pdf	/p16313coll35/image/404.pdf
Bayou Lafourche and Lafourche-Jump Waterway, LA. : letter from the Secretary of the Army, transmitting a letter from the Chief of Engineers, Department of the Army, dated February 2, 1959, submitting a report 	1959 	United States. Dept. of the Army. 			Washington, DC: Government Printing Office, 1959. 	59 p.: fold. maps ; 23 cm.  	Series statement: 86th Congress, 1st session, House document ; no. 112 	D 103.22:B 34/3 											2013-06-26	2013-06-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/404	404	405.pdf	/p16313coll35/image/405.pdf
Final Proceedings Advisory Commission of Engineers	1875	Advisory Commission of Engineers.	Jetties--Mississippi River		S.l. : s.n., 1875?	13 p. ; 23 cm.	Report is dated November 18, 1875; Library's LLMVC copy has stamps of Franklin Institute Library.	TC425.M65 A38 1875											2013-06-28	2013-06-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/405	405	406.pdf	/p16313coll35/image/406.pdf
Hydraulicus ou amélioration du Mississippi; presentant un plan pour prevenir ses inondations et celles de ses affluents	1828	Harrison, J.	Hydraulic engineering.	Mississippi River--Levees.	Nouvelle-Orleans, Imprimé par Benjamin Levy, 1828.	64 p. 22 cm.		TC425 .M62 H3 LARA	flood control										2013-06-28	2013-06-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/406	406	407.pdf	/p16313coll35/image/407.pdf
Report of the Leveen Commission of Engineers to the Governor of Louisiana: Session of 1876.	1876	Louisiana. Commission of Levee Engineers	Levees--Mississippi River	Mississippi River--Levees; Louisiana--Levees	New Orleans	97 p.		TC425 .M62 A3	flood control										2013-06-28	2013-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/407	407	408.pdf	/p16313coll35/image/408.pdf
Map of a reconnaissance of the Mississippi River from Cairo, Ill. to New Orleans, La. 	1878 	United States. Army. Corps of Engineers. 		Mississippi River--Maps 	Washington, N. Peters, photo-lithographers, 1878? 	31 (i.e. 32) l. of maps. 40 x 60 cm. 	Title from index map; Scale of maps 1:63,360 or 1 inch to 1 mile; On cover: Survey of the Mississippi River, Jos. R. Pursell, California, O. 	G4040 .U64 	general river studies 										2013-07-16	2013-07-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/408	408	409.pdf	/p16313coll35/image/409.pdf
Survey of Portable Hydraulic Dredges	1983	Clark, Gene, 1944- Hydraulics Laboratory, U. S. Army Engineer Waterways Experiment Station.	Dredges; Dredging		Vicksburg, Miss. : U.S. Army Engineer Waterways Experiment Station ; Springfield, Va. : Available from NTIS, 1983.	1 v. (loose-leaf) : ill. ; 27 cm.	Cover title; March 1983; Prepared for Office, Chief of Engineers, U.S. Army; At head of title: Dredging.	D 103.24/2:HL-83-4											2013-07-16	2013-10-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/411	411	412.pdf	/p16313coll35/image/412.pdf
5068001r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/415	415	420.jp2	/p16313coll35/image/420.jp2
5068001v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/416	416	421.jp2	/p16313coll35/image/421.jp2
5068002r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/417	417	422.jp2	/p16313coll35/image/422.jp2
5068002v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/418	418	423.jp2	/p16313coll35/image/423.jp2
5068003r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/419	419	424.jp2	/p16313coll35/image/424.jp2
5068003v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/420	420	425.jp2	/p16313coll35/image/425.jp2
5068004r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/421	421	426.jp2	/p16313coll35/image/426.jp2
5068004v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/422	422	427.jp2	/p16313coll35/image/427.jp2
5068005r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/423	423	428.jp2	/p16313coll35/image/428.jp2
5068005v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/424	424	429.jp2	/p16313coll35/image/429.jp2
5068006r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/425	425	430.jp2	/p16313coll35/image/430.jp2
5068006v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/426	426	431.jp2	/p16313coll35/image/431.jp2
5068007r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/427	427	432.jp2	/p16313coll35/image/432.jp2
5068007v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/428	428	433.jp2	/p16313coll35/image/433.jp2
5068008r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/429	429	434.jp2	/p16313coll35/image/434.jp2
5068008v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/430	430	435.jp2	/p16313coll35/image/435.jp2
5068009r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/431	431	436.jp2	/p16313coll35/image/436.jp2
5068009v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/432	432	437.jp2	/p16313coll35/image/437.jp2
5068010r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/433	433	438.jp2	/p16313coll35/image/438.jp2
5068010v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/434	434	439.jp2	/p16313coll35/image/439.jp2
5068011r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/435	435	440.jp2	/p16313coll35/image/440.jp2
5068011v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/436	436	441.jp2	/p16313coll35/image/441.jp2
5068012r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/437	437	442.jp2	/p16313coll35/image/442.jp2
5068012v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/438	438	443.jp2	/p16313coll35/image/443.jp2
5068013r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/439	439	444.jp2	/p16313coll35/image/444.jp2
5068013v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/440	440	445.jp2	/p16313coll35/image/445.jp2
5068014r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/441	441	446.jp2	/p16313coll35/image/446.jp2
5068014v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/442	442	447.jp2	/p16313coll35/image/447.jp2
5068015r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/443	443	448.jp2	/p16313coll35/image/448.jp2
5068015v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/444	444	449.jp2	/p16313coll35/image/449.jp2
5068016r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/445	445	450.jp2	/p16313coll35/image/450.jp2
5068016v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/446	446	451.jp2	/p16313coll35/image/451.jp2
5068017r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/447	447	452.jp2	/p16313coll35/image/452.jp2
5068017v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/448	448	453.jp2	/p16313coll35/image/453.jp2
5068018r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/449	449	454.jp2	/p16313coll35/image/454.jp2
5068018v																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/450	450	455.jp2	/p16313coll35/image/455.jp2
5068019r																			2013-11-01	2013-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/451	451	456.jp2	/p16313coll35/image/456.jp2
